,商品名称,数量
264,『执子之手』33枝粉玫瑰搭配桔梗韩式花束情人节送女友鲜花店	,23
266,『繁花似锦』99枝粉玫瑰精致韩式花束七夕情人节礼物鲜花店	,23
274,『秋风送喜网红大麦开业花篮一对	,22
272,『柔情蜜意』19枝红色康乃馨搭配满天星尤加利花束38女神节	,22
270,『如星璀璨』满天星花束 糖果球抖音网红灯送女友送老婆生日礼物	,22
273,『鲜眉亮眼』33枝粉玫瑰搭配满天星花束 女神节生日礼物	,22
268,单枝红玫瑰（满60配送）	,22
321,『朝朝暮暮』99枝红玫瑰七夕送女友生日礼物情人节鲜花	,21
278,『旷世容颜』11枝香槟玫瑰搭配桔梗尤加利花束	,21
276,『可爱小熊』单买不送请与鲜花一同下单 颜色随机	,21
329,『日常家居鲜花』3枝向日葵（一公里内配送，不带瓶装。）	,21
304,『长命百岁』19枝红色康乃馨礼盒A款-生日鲜花长辈甄选	,21
282,『万事吉祥单层开业花篮一对	,21
275,『白头偕老』33枝香槟玫瑰花束520送女友情人节鲜花	,21
277,『卡拉曼达』19枝香槟玫瑰花礼盒送女友生日礼物鲜花店推荐闺蜜	,21
1513,（自取款）单枝白百合不配送自取地址昭阳路	,20
1480,『花容月貌』6枝红玫瑰花搭配尤加利花束生日鲜花礼物花店鲜花	,20
280,『万事如意』三脚架开业花篮婚礼布置庆典礼仪鲜花演唱会（一对）	,20
279,一世爱人（11枝红玫瑰搭配尤加利七夕情人节鲜花花束）	,20
537,『日常家居鲜花』3枝粉色康乃馨（一公里内配送，不带瓶装。）	,20
297,『特价促销』向日葵混搭小花束	,20
281,『Lovely D2』33枝戴安娜鲜花+配草 花束送闺蜜鲜花	,20
303,『爱的宣言』蓝色满天星+3只粉玫瑰鲜花花束 主推款爆款159	,20
283,『傲雪凌霜』33枝粉玫瑰搭配尤加利礼盒七夕情人节礼物鲜花店	,20
284,『铭记于心』33枝粉玫瑰花皇冠花束七夕送爱人情人节礼物鲜花	,20
302,『万事如意单层开业花篮一对	,20
290,『财源广进』50朵扶郎花+2朵百合特价双层开业花篮 （一对）	,20
291,到店自取限量款红玫瑰（单枝）	,19
289,『超值限购自取款』单支玫瑰	,19
386,『日常家居鲜花』小束紫色雏菊（一公里内配送）	,19
286,（满满的爱），到店自取款	,19
288,『吉祥开业』三脚架开业花篮婚礼布置结婚礼仪演唱会庆典（一对）	,19
287,『莺莺燕燕』11枝粉玫瑰两个白色绣球搭配尤加利韩式花束	,19
294,满天星『为你心动』LOVE字样 送亲人 送闺蜜 送情人推荐	,19
285,【指路明灯 】单支向日葵不配送	,19
292,『含露低垂』7枝香水百合6月花礼送女友鲜花花束	,19
293,『夜色阑珊』33枝红玫瑰搭配黄英礼盒情人节送女友鲜花店	,19
348,『日常家居鲜花』小束绿色雏菊（一公里内配送）	,19
296,『共度一生』33枝粉玫瑰搭配银叶菊韩式花束情人节送女友鲜花店	,19
310,『巧夺天工』33枝红玫瑰花搭配桂冠韩式花束送女友鼠年生日礼物	,18
325,『眉目传情』33枝红玫瑰鲜花花束 生日礼物送女友送男友鲜花店	,18
364,开业花篮B款	,18
305,『玫瑰花开』99枝红玫瑰搭配尤加利韩式花束 七夕情人节礼物	,18
301,『春风得意』11枝黄玫瑰搭配黄莺礼盒6月花礼送女友鲜花	,18
300,『亭亭玉立』6枝粉玫瑰配尤加利韩式花束520情人节礼物鲜花	,18
298,【指路明灯】单只向日葵花束精美包装	,18
322,『名满四海大麦大卖开业花蓝一对	,18
295,『夏天的风』单只向日葵 下单请到店自取	,18
1487,『道歉款』11枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花店	,18
324,『缤纷』33朵混搭香槟玫瑰戴安娜玫瑰送女友送闺蜜送情人鲜花	,18
312,『钟意你』19枝香槟玫瑰搭配满天星礼盒情人节送女友鲜花店	,18
385,『宾客如云』单层开业花篮婚礼布置开业礼仪演唱会庆典（一对）	,17
1518,『师爱无边』21枝粉玫瑰+3枝向日葵韩式花束七夕情人节礼物	,17
1589,单枝粉玫瑰	,17
761,『盛夏光年』可乐味棒棒糖搭配旺仔包秋天的第一个包包	,17
363,『唯爱一生』11枝红玫瑰搭配尤加利韩式花束送女友生日鲜花	,17
308,『永远快乐』金辉玫瑰搭配向日葵鲜花花束 送闺蜜 送情人	,17
319,『百花飘香』99枝香槟搭配桔梗韩式花束七夕情人节礼物鲜花店	,17
309,【店家推荐】向日葵搭配桔梗小雏菊小花束活动爆款精致自取款	,17
314,『Black yarn D1款』66枝红玫瑰儿黑色花束	,17
340,『感天动地』19枝红玫瑰鲜花礼盒送亲人送闺蜜送情人鲜花店	,17
337,『脱颖而出』6朵向日葵搭配桔梗混搭花束毕业季礼物送老师送同学	,17
313,『超值自取款』单枝香槟玫瑰	,17
336,『一生无悔』11枝红玫瑰搭配相思梅礼盒情人节送女友送闺蜜鲜花	,17
334,『兴业长新向日葵+百合+玫瑰+桔梗开业花篮一对	,17
343,『日常家居鲜花』3枝红色康乃馨（一公里内配送，不带瓶装。）	,17
338,『Blue D1』33枝蓝色玫瑰鲜花儿+配草 花束	,17
311,『和气生财大麦大卖开业花篮一对	,17
316,『Classic D6款』19枝戴安娜粉玫瑰鲜花+配草 花束	,17
306,『诚挚的爱』11枝粉玫瑰礼盒情人节送女友情人节送闺蜜鲜花店	,17
317,『风姿卓越』11枝白玫瑰搭配桔梗花束生日礼物送女友鲜花	,17
320,『情窦初开』19枝粉玫瑰鲜花礼盒送男友 送闺蜜送亲人鲜花店	,17
315,『嫁给我吧』11枝红玫瑰花束情人节送女友送闺蜜鲜花店	,17
356,『红红火火红色扶郎+配叶韩式开业花篮一对	,16
470,单支向日葵拍照神器	,16
333,『花开那年』9朵百合搭配尤加利花束送父母送老师鲜花	,16
330,『给你的爱』52朵红玫瑰花束 送女友鲜花店	,16
367,『相伴一生』红袖蓝色绣球手提鲜花花篮 送亲人 送闺蜜	,16
630,『青女素娥』粉色满天星搭配99棵棒棒糖花束送女友送爱人	,16
331,『一生一世』大束蓝色满天星浪漫白纱款 送人鲜花 送女友鲜花店	,16
328,『痴心』11枝红玫瑰花礼盒 送女友鼠年朋友生日礼物送女友	,16
362,『绚丽多彩』LOVE蓝色妖姬精致礼盒七夕情人节礼物鲜花店	,16
327,『情深意切』11枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花店	,16
326,『漫天星空』蓝色满天星搭配星空球花束情人节送女友鲜花店	,16
332,『一生的信念』19枝蓝色妖姬搭配黄莹送女友闺蜜生日礼物鲜花店	,16
335,『唯爱一人』19枝红玫瑰搭配尤加利花束520情人节礼物鲜花	,16
382,『道歉款』33枝混搭玫瑰鲜花礼盒 送女友送闺蜜送情人生日礼物	,15
346,『从教无私』11枝香槟玫瑰+2枝向日葵搭配满天星花束教师节	,15
1471,『锦上添花』9枝粉玫瑰花韩式花束生日鲜花礼物花店鲜花	,15
347,『私人订制』包装花束礼盒请联系客服	,15
339,『念念不忘』33枝粉玫瑰搭配尤加利抱抱桶520情人节礼物鲜花	,15
1466,『如花似玉』9枝粉玫瑰花搭配尤加利花束生日鲜花礼物花店鲜花	,15
349,『鸾凤和鸣』19枝红玫瑰表白款抱抱桶生日情人节送闺蜜鲜花店	,15
350,『爱的就是你』11枝红玫瑰搭配尤加利韩式花束七夕礼物送女友	,15
351,爱在心间19朵精品红玫瑰花束	,15
352,『爱的海洋』满天星花束糖果球抖音网红灯送女友送老婆生日礼物	,15
345,『日常家居鲜花』3枝红玫瑰（一公里内配送）	,15
360,劳而不怨 19朵白百合花束 母亲节送妈妈生日鲜花长辈甄选	,15
341,『琴瑟和鸣』33枝香槟玫瑰搭配相思梅礼盒520情人节鲜花	,15
344,『如影随行』19枝粉色康乃馨搭配洋桔梗花束38女神节鲜花	,15
365,『花颜月下』19枝红玫瑰搭配满天星韩式礼盒七夕情人节鲜花	,15
342,『永久的爱』19枝红玫瑰搭配尤加利花束520情人节礼物鲜花	,15
398,『赏心悦目』33枝粉玫瑰精致抱抱通七夕情人节礼物鲜花店	,15
373,『我爱你』52枝红玫瑰花鲜花束送女友生日礼物送闺蜜鲜花店推荐	,15
414,『日常家居鲜花』3枝乒乓菊（一公里内配送）	,14
406,『白头相守』11枝红玫瑰搭配尤加利花束七夕节送女友鲜花店	,14
404,『谁言寸草心』19枝红康乃馨搭配尤加利满天星礼盒女神节礼物	,14
610,『千伶百俐』草莓味棒棒糖搭配AD钙奶包秋天的第一个包包	,14
381,『珠联璧合』52枝粉玫瑰花束520送女友情人节礼物鲜花	,14
1498,『温香艳玉』11枝红玫瑰花搭配尤加利礼盒生日鲜花礼物	,14
1482,『美丽动人』9枝红玫瑰搭配尤加利韩式花束生日鲜花送老婆鲜花	,14
354,『花束彩灯』单买不送请与鲜花一同下单	,14
355,『限量自取款』3枝红玫瑰简约鲜花送女友送老婆鲜花	,14
357,『AWM』99枝红玫瑰520送女友情人节鲜花	,14
358,（自取款）单枝红康乃馨不配送哦亲	,14
359,『网红爆款』33枝红玫瑰搭配尤加利韩式花束情人节送女友鲜花店	,14
361,『三尺讲台』19枝红康乃馨搭配尤加利礼盒教师节送老师鲜花	,14
366,『蒸蒸日上韩式开业花篮一对	,14
368,Black yarnC4款52枝香槟玫瑰黑纱花束圣诞节鲜花店	,14
924,『爱如潮水』11枝红玫瑰花束七夕情人节爆款礼物送女友鲜花店	,14
377,『魂牵梦绕』52枝红玫瑰搭配满天星黑纱花束520情人节鲜花	,14
378,『吉星高照』三脚架开业花篮婚礼礼品结婚礼仪演唱会布置（一对）	,14
1455,『花辰月夕』9枝红玫瑰花搭配尤加利花束生日鲜花礼物花店鲜花	,13
417,『冰心玉骨』向日葵混搭精致玫瑰下单送彩灯送女友	,13
441,『唯美爱情』玫瑰混搭满天星手提鲜花篮 送情人 送闺蜜	,13
435,『如诗如画』19枝粉色康乃馨花束 女神节礼物送妈妈送亲人	,13
408,『容颜不老』11枝红玫瑰礼盒 送妈妈 女神节礼物	,13
416,『美好时光』8枝向日葵混搭花束送父母送亲人鲜花	,13
383,『璀璨夺目』33枝蓝色妖姬韩式花束七夕情人节礼物鲜花店	,13
402,『爱在心头』33枝香槟玫瑰花束 送闺蜜 送情人	,13
393,『称心如意马卡龙气球+绣球+桔梗+满天星 开业花篮一对	,13
392,『朝夕相伴』满天星鲜花花束 自取款	,13
390,『为爱痴狂』19枝红玫瑰搭配尤加利花束情人节送女友鲜花店	,13
389,『沉默的爱』混搭玫瑰搭配绣球花手提花篮 送女友亲人鲜花店礼物	,13
388,『花开有时』11枝戴安娜玫瑰花3枝香槟玫瑰花3枝康乃馨鲜花店	,13
387,收藏店铺和花一起拍下送	,13
384,『到店自取限购版』单枝向日葵小花束	,13
391,女王款-99枝红玫瑰鲜花送女友花束 推荐鲜花店	,13
380,『日常家居鲜花』3枝粉色康乃馨（一公里内配送）	,13
375,『超值限量自取款』单支玫瑰	,13
374,『楚楚动人』33枝红玫瑰韩式花束送女友送老公鲜花	,13
372,『接吻』 I LOVEYOU红玫瑰礼盒 送女友送闺蜜推荐鲜花	,13
371,『日常家居鲜花』3枝红色康乃馨（一公里内配送）	,13
370,『平安如愿』19枝粉康乃馨搭配乒乓菊抱抱桶教师节送老师鲜花	,13
376,『无可替代』19枝红玫瑰搭配尤加利礼盒情人节送女友鲜花店	,13
369,『摘下星星给你』粉色满天星搭配星空球花束情人节送女友鲜花店	,13
401,『甜蜜梦境 』满天星花束糖果球抖音网红灯送女友送老婆生日礼物	,12
481,『限量自取款』单枝向日葵搭配尤加利韩式花束送女友送老婆鲜花	,12
411,『蓬勃发展』3枝向日葵搭配香槟玫瑰花束毕业季送老师同学鲜花	,12
410,『天真烂漫』蓝色满天星小花束毕业季送老师送师生鲜花	,12
556,『日常家具鲜花』一枝向日葵搭配雏菊花束（一公里配送，自取款）	,12
405,一心一意—11朵红玫瑰尤加利叶	,12
403,『Blue D4款』33枝蓝色玫瑰鲜花儿+配草 礼盒	,12
397,『妩媚动人』11枝蓝色妖姬搭配栀子叶礼盒520情人节礼物鲜花	,12
400,『感恩教师』5枝康乃馨搭配满天星花束教师节（不带橱窗袋）	,12
399,『楚楚可怜』33枝红玫瑰抱抱桶520送女友情人节鲜花	,12
396,精品19朵红玫瑰花束	,12
395,『心心相印』99枝红玫瑰搭配相思梅花束520送女友情人节鲜花	,12
394,『彼岸花开 』11枝红玫瑰搭配满天星礼盒情人节送女友鲜花店	,12
412,『碧玉琼瑶』33枝粉玫瑰搭配尤加利礼盒520送女友情人节鲜花	,12
1460,『玉貌花容』9枝红玫瑰花搭配尤加利花束生日鲜花礼物花店鲜花	,12
475,『从一而终』33枝红玫瑰花鲜花束 送亲人 送闺蜜送情人鲜花店	,12
407,今日特推-9枝粉玫瑰满天星花束	,12
432,『艾欧尼亚』66枝红玫瑰花鲜花束送女友闺蜜生日礼物鲜花店	,12
423,『海燕双栖』粉玫瑰搭配白玫瑰满天星手捧花送爱人送老婆爱意无价	,12
424,『爱你在日夜』19枝香槟玫瑰搭配相思梅礼盒 三八妇女节女神节	,12
451,『给予温暖』19枝粉玫瑰搭配3朵向日葵配草混搭花束女神节礼物	,12
413,『爱在心间』11枝黄玫瑰搭配尤加利花束6月花礼送女友鲜花	,12
428,『浪漫情怀』两色粉玫瑰混搭绣球手提鲜花篮送情人 送闺蜜	,12
442,『皓月当空』11枝红玫瑰满天星礼盒520情人节礼物送女友鲜花	,12
469,『春暖花开』33枝红色康乃馨搭配尤加利花束 女神节生日礼物	,11
439,『如故』33枝粉玫瑰花束 送情人 送女友 送闺蜜 鲜花店	,11
1507,『春暖花开』6枝红玫瑰花搭配彩灯韩式花束生日鲜花礼物花店鲜花	,11
418,『店家推荐』随机混搭小型花束自取款	,11
438,『闭月羞花』19枝粉玫瑰搭配满天星韩式礼盒送女友送老婆鲜花	,11
499,『花晨月夕』11枝红玫瑰七夕情人节送女友送闺蜜鲜花花束	,11
415,『情意绵绵』6枝粉玫瑰满天星花束七夕（3公里内配送）	,11
448,『感恩母亲』康乃馨玫瑰混搭手提鲜花花篮 送情人 送闺蜜鲜花	,11
445,『缕缕清香』52枝香槟玫瑰搭配尤加利七夕情人节礼物鲜花店	,11
468,『一丝不苟』11朵百合搭配红豆尤加利花束 教师节礼物 送老师	,11
430,『Blue A6款』19枝蓝色玫瑰鲜花儿 礼盒 送闺蜜	,11
429,『情比金坚』12枝红玫瑰精致韩式花束七夕情人节礼物鲜花店	,11
427,『心灵的明镜』19枝红康乃馨混搭手提花篮教师节送老师鲜花	,11
426,『不远万里』粉玫瑰康乃馨搭配桔梗手提鲜花篮送闺蜜送情人	,11
425,『心语心愿』19白玫瑰搭配桔梗白纱花束送女友生日鲜花	,11
422,『白璧无瑕』5枝百合搭配3枝玫瑰小型花束鲜花送女友	,11
421,『花样年华』99枝粉玫瑰520送女友情人节鲜花	,11
420,『兴业长新』三脚架开业花篮婚礼布置结婚礼仪演唱会庆典（一对）	,11
419,『繁星点点』粉色满天星韩式花束520情人节礼物鲜花	,11
450,『宽厚的肩膀』33枝香槟玫瑰搭配黄莺表白礼盒送女友生日鲜花店	,11
446,『翩若惊鸿』99枝红玫瑰黑纱花束情人节送女友鲜花店	,10
454,百合单支花 10支起送	,10
453,『白首不渝』19枝粉色康乃馨搭配尤加利满天星礼盒 女神节生日	,10
447,『情思缠绵』33枝粉色玫瑰鲜花礼盒 送女友送闺蜜送情人鲜花	,10
519,一心一意爱情永固11枝红玫瑰搭配尤加利满天星礼盒花束）	,10
443,『天长地久』33枝红玫瑰搭配尤加利花束七夕情人节礼物鲜花	,10
517,『盛夏光年』33枝红玫瑰黑纱花束七夕情人节送女友鲜花店	,10
444,『碧海青天』19枝蓝色妖姬韩式花束情人节送女友鲜花店	,10
437,『仪态万千』11枝粉玫瑰搭配百合满天星花束 女神节生日礼物	,10
1539,『亭亭玉立』11枝粉玫瑰配尤加利韩式花束送情人送女友礼物鲜花	,10
1529,『限量自取款』五枝混搭韩式鲜花花材随机不带瓶装	,10
1519,『伴花随柳』6枝白玫瑰搭配尤加利小雏菊精美小花束送老婆	,10
440,『步步高升绣球+玫瑰+满天星+桔梗开业花篮一对	,10
1505,『流光溢彩』11枝红玫瑰花搭配尤加利花束生日鲜花礼物花店鲜花	,10
436,『花丛里』11枝粉玫瑰花搭配绣球送人鲜花送女友送老婆鲜花店	,10
434,『一见锺情』红玫瑰搭配绿叶满天星礼盒520送女友情人节鲜花	,10
433,粉色雪山玫瑰	,10
431,『Black yarn B2款』33朵玫瑰鲜花儿黑纱花束	,10
510,『于飞之乐』白色绣球搭配桔梗手捧花送情人送老婆爱意无价	,10
633,『对你的爱』11枝粉玫瑰搭配满天星彩灯时尚花束	,10
449,『怦然心动』11枝红玫瑰爆款礼盒七夕情人节送女友鲜花	,10
488,『黄金满室向日葵+百合+玫瑰+桔梗+尤加利开业花蓝一对	,10
474,『情比金坚』33枝香槟玫瑰花鲜花束 送女友送闺蜜送情人鲜花店	,10
460,『幸福安康』6支多头百合-生日鲜花长辈甄选	,10
452,『着迷』三色玫瑰混搭鲜花手提花篮 送情人 送闺蜜推荐鲜花	,10
455,『花点时间』11枝香槟玫瑰花搭配绣球洋桔梗送人鲜花女友鲜花店	,10
491,『锦绣前程』向日葵搭配玫瑰混搭花束毕业季礼物送老师送同学	,9
495,『诗题红叶』粉玫瑰搭配精致配叶手捧花送爱人送老婆爱意无价	,9
479,精致小花束（到店自取款，不配送）	,9
467,『玉树琼枝』混搭玫瑰搭配绣球手捧花送爱人送老婆爱意无价	,9
477,『钟灵毓秀』11枝粉玫瑰搭配尤加利礼盒情人节送女友鲜花店	,9
585,『BlackyarnB2款』33朵玫瑰鲜花花束七夕情人节礼物	,9
524,『同心同德』11枝粉玫瑰搭配银叶菊送女友38女神节鲜花	,9
473,『Goddess E1款』66枝红玫瑰鲜花儿 花束	,9
472,A1单支向日葵小花束	,9
471,（我爱你）到店自取款	,9
478,『博学多识』19朵康乃馨+5朵百合花束 教师节礼物 送老师	,9
476,『浓情蜜意』混搭玫瑰花搭配向日葵花束送老师送女友送亲人鲜花店	,9
466,『千秋功业』8朵百合+3枝向日葵搭配红豆花束 教师节礼物	,9
459,『爱不释手』11枝粉白玫瑰混搭满天星礼盒七夕礼物情人节鲜花	,9
506,『共度爱河』11枝红玫瑰搭配尤加利韩式花束情人节送女友鲜花店	,9
465,Goddess C4款19枝红玫瑰鲜花礼盒	,9
990,花店推荐鲜花 19枝白玫瑰+2只小熊礼盒 七夕情人节礼物	,9
456,『一心一意』IOU红玫瑰高端礼盒七夕情人节礼物鲜花店	,9
458,『白色情人节』-52枝白玫瑰花束送爱人母亲同事朋友领导	,9
457,『历尽沧桑』多头百合搭配黄英礼盒送长辈送父亲礼物鲜花	,9
461,『财运亨通』开业花篮婚礼布置结婚礼仪演唱会庆典（一对）	,9
462,『一往情深』33枝红玫瑰网红天心盒520送女友情人节鲜花	,9
463,『裙子好球』33枝红玫瑰礼盒520送女友情人节礼物鲜花	,9
464,吉祥如意金布双层开业花篮一对	,9
1478,『闭月羞花』21枝红玫瑰花搭配满天星礼盒生日鲜花礼物	,9
577,『情窦顿开』19枝红玫瑰搭配桔梗尤加利花束情人节送女友鲜花店	,8
489,?爆品?单支精品红玫瑰 样式随机 仅限到店自提 介意勿拍	,8
493,『桃李芬芳』11枝香槟玫瑰搭配尤加利花束生日鲜花店	,8
616,『桃花流水』19枝红玫瑰搭配满天星礼盒七夕情人节送女友鲜花	,8
492,『日常家居鲜花』3枝向日葵（一公里内配送）	,8
636,『日常家居鲜花』3枝白色乒乓菊（一公里内配送，不带瓶装。）	,8
490,10支黄金海岸玫瑰（一公里内免费配送）	,8
501,『不卑不亢』11枝香槟玫瑰搭配相思梅礼盒送父亲礼物鲜花	,8
1528,『店内爆款』11枝红玫瑰搭配尤加利精美韩式花束送女友鲜花	,8
1149,『情投意合』11枝红玫瑰尤加利送女神爱人情人节鲜花花束	,8
487,『长长久久』9枝红玫瑰花鲜花束到店自取款送闺蜜送女友	,8
486,『大吉大利』三脚架开业花篮婚礼布置送客户礼仪庆典结婚（一对）	,8
485,（自取款）单枝粉玫瑰不配送哦亲	,8
484,『陪伴』19枝粉玫瑰搭配尤加利礼盒情人节送女友鲜花	,8
483,一心一意单支玫瑰花束（仅一公里内配送）	,8
482,『貌美如花』33枝粉色康乃馨搭配桔梗尤加利花束 女神节礼物	,8
480,『逞娇呈美』11枝红玫瑰搭配栀子叶花束女神节爆款送女友	,8
550,『华堂焕彩』三脚架开业花篮婚礼布置结婚礼仪演唱会礼品（一对）	,8
500,『雅韵翩然』52枝红玫瑰搭配满天星韩式花束情人节送女友鲜花店	,8
657,白色满天星花束（自取款不配送）	,8
546,『连枝共冢』紫玫瑰花搭配黄蝴蝶香槟桔梗 送女友鲜花店	,8
508,『情不自禁』19枝粉玫瑰搭配满天星礼盒情人节送女友送闺蜜鲜花	,8
496,『芬芳的心』19枝香槟玫瑰+4枝向日葵搭配桔梗花束 教师节	,8
497,『情有独钟』11枝粉玫瑰鲜花七夕情人节送女友生日鲜花	,8
516,『网红爆款』33枝红玫瑰抱抱桶抖音推荐520情人节礼物鲜花	,8
513,『日常家具鲜花』一枝向日葵小花束（一公里配送，自取款）	,8
512,『Blue D3款』33枝蓝色玫瑰鲜花儿+配草 花束	,8
511,『朝朝暮暮』99枝红玫瑰520送女友情人节鲜花	,8
498,『青梅竹马』33枝粉玫瑰搭配尤加利花束七夕情人节礼物鲜花	,8
509,『日常家居鲜花』3枝粉百合（一公里内配送）	,8
523,『春光灿烂』向日葵手提鲜花花篮 送闺蜜 送情人 花店推荐	,8
507,『日进无疆』三脚架开业花篮 公司开张鲜花演唱会庆仪花（一对）	,8
503,【指路明灯 】单支向日葵不配送不带包装	,8
505,『爱的气息』19枝红玫瑰鲜花礼盒 女神节生日礼物	,8
504,『亭亭玉立』11枝粉玫瑰配尤加利韩式花束七夕情人节礼物鲜花	,8
544,『百年好合』33枝粉玫瑰搭配情人草礼盒520送女友情人节鲜花	,8
502,向日葵花束简约款	,8
526,『浪漫满屋』52枝红玫瑰花束送女友情人节鲜花	,7
590,『儿女情长』19枝戴安娜搭配尤加利生日鲜花	,7
527,『含露低垂』7枝香水百合6月花礼七夕节送女友鲜花花束	,7
528,『圈圈圆圆』9枝白粉瑰搭配满天星花束520情人节鲜花店爆款	,7
529,『富贵吉祥』10支转运竹不含花瓶送父母五公里外不送限五公里内	,7
618,『隆声援布』开业花篮演唱会庆典婚礼布置开业礼仪 （一对）	,7
530,美丽的你【11枝粉玫瑰搭配尤加利叶七夕情人节鲜花礼盒】	,7
531,琴瑟之好【11枝粉玫瑰搭配尤加利七夕情人节表白花束】	,7
533,到店自取款 【店家主推B款】小盆绿植 绿萝 家居送长辈送朋友	,7
532,到店自取款【店家主推】小盆绿植 绿萝 家居送长辈送朋友	,7
542,卡罗拉红色玫瑰	,7
534,『大吉大利时尚满天星开业花篮一对	,7
535,『云心水性』11枝红玫瑰搭配尤加利情人节鲜花花束	,7
536,『日常家居鲜花』小束白色满天星（一公里内配送）	,7
525,『情有独钟』11枝粉玫瑰满天星花束	,7
543,『Black yarn C2款』52枝红玫瑰黑纱送女友花束	,7
539,『优质绿植』大叶绿萝居家绿植送客人送朋友绿植	,7
540,白色玫瑰	,7
541,『红红火火』三脚架开业花篮婚礼布置结婚礼仪演唱会庆典（一个）	,7
538,『甘棠之爱』19枝红玫瑰抱抱桶520情人节礼物送女友推荐鲜花	,7
521,向日葵3支尤加利小清新花束	,7
522,『金枝玉叶』11枝黄玫瑰搭配尤加利花束6月花礼送女友鲜花	,7
1476,『师爱无边』21枝粉玫瑰+3枝向日葵韩式花束生日鲜花礼物	,7
564,『如梦佳人』99枝白玫瑰圣诞节花束520送女友情人节鲜花	,7
565,『三生有幸』19枝康乃馨花束送女友送父母生日鲜花	,7
549,『永久的爱』19枝红玫瑰搭配尤加利花束七夕礼物鲜花	,7
547,『美丽动人』11枝粉玫瑰韩式礼盒七夕情人节送女友送老婆鲜花	,7
572,『执手依依』33枝香槟玫瑰圣诞节礼盒	,7
559,『粉色爱情』13枝粉色康乃馨+6朵粉玫瑰+配草女神节礼盒	,7
514,『爱的思念』香槟白玫瑰混搭手提鲜花花篮 送情人 送闺蜜推荐花	,7
515,『不卑不亢』12枝向日葵搭配玫瑰混搭花束送老师送同学鲜花	,7
