商户ID,门店名称,品牌名称,服务质量,教师节总订单,七夕总订单,教师节取消订单率,七夕取消订单率,教师节非异订单率,七夕非异订单率,最大小时接单量,12月24日20分钟最大接单量（测算参考值）,12月31日20分钟最大接单量（测算参考值）,12月24日订单量预估,12月25日-1月1日预估（该段时间内均按照此阈值限定）,12月24日（N单/每20分钟）,12月25日-1月1日（N单/每20分钟）,体检分
9287646,大象园艺（七夕情人节，告白，鲜花）,花生活,蓝色预警,15,28,0,0.107142857,0.076923077,0.142857143,5,2,2,19.6,12,,,90
9740903,情意浓花卉（七夕预定，表白，鲜花）,花生活,黄色预警,1,6,0,0,0,0.166666667,2,2,2,4.2,2,,,79
8442887,花之缘鲜花屋・七夕鲜花,花生活,橙色预警,7,51,0,0.078431373,0,0.117647059,9,2,3,35.7,22,,,74
9756327,惜缘花业,花生活,0,1,3,0,0,0,0,1,2,2,2.1,1,,,72
6395163,花生活鲜花（花海）,花生活,0,12,174,0,0.045977011,0,0.005747126,20,5,7,121.8,73,,,92
9298120,鲜花（解放北路店）,花生活,红色预警,12,32,0,0.0625,0,0.25,6,2,2,22.4,13,,,79
8724585,顺意鲜花店（七夕情人节，告白，生日）,花生活,0,10,55,0,0,0,0,10,3,4,38.5,23,,,66
9629139,晓明姐姐手工花坊,花生活,黄色预警,15,43,0,0.139534884,0.083333333,0.162790698,6,2,2,30.1,18,,,81
9437456,花意浓・七夕鲜花,花生活,红色预警,7,32,0.666666667,0.46875,0.777777778,0.4375,6,2,2,22.4,13,,,72
9621812,芙罗拉花艺・七夕鲜花,花生活,蓝色预警,7,32,0,0.09375,0,0.03125,8,2,3,22.4,13,,,73
7004308,花生活鲜花（曼陀罗花开）,花生活,0,3,2,0,0,0.333333333,0,1,2,2,1.4,1,,,72
2329256,花生活鲜花（七彩坊鲜花店）,花生活,红色预警,1,73,0,0.767123288,0,0.753424658,11,2,3,51.1,31,,,79
5582315,花生活鲜花（花香漫进）,花生活,红色预警,2,5,0.5,0.2,0.5,0.4,2,2,2,3.5,2,,,61
9548188,百合缘花艺・七夕鲜花,花生活,红色预警,1,29,0,0.655172414,0,0.482758621,7,2,2,20.3,12,,,69
7207843,花生活鲜花（花殿鲜花店）,花生活,红色预警,3,13,0.4,0.461538462,0.2,0.153846154,4,2,2,9.1,5,,,74
9776746,花好月缘,花生活,红色预警,5,14,0,0.142857143,0,0.285714286,2,2,2,9.8,6,,,83
8116641,群磊花艺,花生活,红色预警,3,33,0,0.787878788,0,0.696969697,10,2,3,23.1,14,,,64
9578994,好日子花艺（七夕情人节，礼物，鲜花）,花生活,红色预警,8,13,0,0.461538462,0,0.153846154,4,2,2,9.1,5,,,86
7207851,花生活鲜花（龙兴花艺）,花生活,0,15,168,0,0.017857143,0,0.017857143,17,4,7,117.6,71,,,94
7634499,花生活鲜花（鲜花绿植）,花生活,红色预警,6,83,0,0.168674699,0,0.156626506,14,3,4,58.1,35,,,79
9022891,小芳鲜花,花生活,0,5,13,0,0,0,0,4,2,2,9.1,5,,,82
7349052,花生活鲜花（赢聚花行）,花生活,红色预警,0,7,0,0.571428571,0,0.714285714,3,2,2,4.9,3,,,65
8755680,馨语鲜花（七夕情人节，表白，鲜花）,花生活,黄色预警,6,20,0.5,0.1,0.25,0.1,6,2,2,14,8,,,72
6882165,花生活鲜花（栋梁花卉）,花生活,红色预警,10,108,0,0.12962963,0,0.268518519,14,3,4,75.6,46,,,81
8983878,鹿角花坊（七夕情人节，告白，鲜花）,花生活,红色预警,0,5,0,0.4,0,0.4,3,2,2,3.5,2,,,59
9480898,花漾年华・七夕鲜花,花生活,红色预警,4,15,0.4,0.2,0,0.333333333,6,2,2,10.5,7,,,68
772683,花生活鲜花（杏福花店）,花生活,红色预警,11,16,0,0.1875,0,0.0625,3,2,2,11.2,7,,,78
2666240,花生活鲜花（祥和鲜花）,花生活,红色预警,12,55,0.090909091,0.363636364,0.181818182,0.236363636,9,2,3,38.5,23,,,74
8207120,馨之园鲜花（螺蛳湾店，・七夕鲜花）,花生活,0,20,48,0,0.020833333,0.066666667,0.041666667,7,2,3,33.6,20,,,86
9803685,初见花艺,花生活,红色预警,6,4,0.333333333,0.25,0,0.25,2,2,2,2.8,2,,,83
7349060,花生活鲜花（饰美鲜花）,花生活,红色预警,5,17,0.333333333,0.176470588,0,0.058823529,3,2,2,0,0,0,0,55
6944778,花生活鲜花（伟爵爷仪嘉花艺馆）,花生活,红色预警,3,38,0.714285714,0.105263158,0,0.105263158,9,2,3,26.6,16,,,72
7642073,花生活鲜花（花花小娴）,花生活,红色预警,0,8,0,0.25,0,0.375,2,2,2,5.6,4,,,64
9599503,花落谁家（七夕情人节，礼物，鲜花）,花生活,红色预警,0,11,0,0.454545455,0,0.181818182,4,2,2,7.7,5,,,59
9272664,花生活鲜花（凯悦花卉顺义店）,花生活,橙色预警,19,54,0.066666667,0.018518519,0,0.037037037,7,2,2,37.8,23,,,89
8958028,时尚花店,花生活,0,1,4,0,0,1,0,1,2,2,2.8,2,,,67
7934071,花生活鲜花（花艺学院）,花生活,红色预警,3,11,0,0.181818182,0,0.363636364,3,2,2,7.7,5,,,72
9616887,花夫籽花店・七夕鲜花,花生活,红色预警,0,6,1,0.666666667,1,0.333333333,2,2,2,4.2,2,,,62
9096059,爱尚花屋（七夕节日，表白，鲜花）,花生活,红色预警,3,25,0,0.28,0,0.2,6,2,2,17.5,11,,,65
9288206,有你知花（七夕情人节，告白，生日）,花生活,0,2,19,0,0.105263158,0,0,6,2,3,13.3,8,,,87
8743603,玫瑰花坊・七夕鲜花,花生活,红色预警,4,5,0.333333333,0.6,0.166666667,0.6,2,2,2,3.5,2,,,67
9608759,妙语花香・七夕鲜花,花生活,蓝色预警,28,70,0,0.1,0.15,0.085714286,15,3,5,49,29,,,85
9718690,别处生花,花生活,0,6,22,0,0.045454545,0.4,0.045454545,5,2,2,15.4,9,,,80
8849779,意达鲜花店（七夕节日，表白，鲜花）,花生活,0,0,13,0,0,0,0.076923077,4,2,2,9.1,5,,,57
7166113,花生活鲜花（浪漫鲜花坊）,花生活,0,0,4,0,0,0,0,2,2,2,2.8,2,,,56
9616927,鲜花绿植（七夕情人节，告白，生日）,花生活,0,1,1,0,0,0,0,1,2,2,0.7,1,,,73
9788967,丁马花艺,花生活,0,2,2,0.666666667,0,0.666666667,0,1,2,2,1.4,1,,,59
9475397,小敏花坊,花生活,0,0,1,0,0,0,0,1,2,2,0,0,0,0,73
8070349,花生活鲜花（花瓣雨鲜花总汇）,花生活,红色预警,4,35,0.333333333,0.085714286,0,0.285714286,9,2,3,24.5,15,,,69
6773725,花生活鲜花（荣浩千寻花艺）,花生活,红色预警,0,13,0,0.692307692,0,0.230769231,3,2,2,9.1,5,,,59
7264476,邀邀妮之鲜花店（七夕情人节，告白，生日）,花生活,红色预警,0,27,0,0.037037037,0,0.296296296,8,2,3,18.9,11,,,55
7785895,花生活鲜花（心愿屋鲜花店）,花生活,黄色预警,0,22,0,0,0,0.181818182,6,2,2,15.4,9,,,56
7994675,花生活鲜花（爱花居鲜花店）,花生活,0,11,31,0.090909091,0.064516129,0,0.064516129,5,2,2,21.7,13,,,78
7642076,花生活鲜花（百艳鲜花）,花生活,0,4,38,0,0.078947368,0,0,6,2,3,26.6,16,,,68
8253592,花生活鲜花（雅鲜花店）,花生活,红色预警,2,66,0,0.696969697,0,0.712121212,13,3,4,46.2,28,,,72
7743133,花生活鲜花（浪漫花语）,花生活,黄色预警,7,29,0,0,0,0.172413793,9,2,3,20.3,12,,,73
9760957,槿妍花舍,花生活,0,10,25,0.090909091,0.04,0.363636364,0.04,3,2,2,17.5,11,,,74
8278376,花生活鲜花（冬平花屋）,花生活,0,0,5,0,0,0,0,2,2,2,3.5,2,,,59
9619250,馨语鲜花（七夕情人节，告白，生日）,花生活,红色预警,1,27,0,0.37037037,0,0.222222222,7,2,2,18.9,11,,,74
8958031,香阁丽娜（七夕情人节，告白，生日）,花生活,红色预警,1,19,0,0.263157895,0,0.210526316,6,2,2,13.3,8,,,82
8709965,最爱花坊・七夕鲜花,花生活,黄色预警,1,20,0,0.15,0,0.1,3,2,2,14,8,,,80
3985407,花生活鲜花（柔兰花艺）,花生活,橙色预警,9,63,0,0.142857143,0,0.253968254,8,2,3,44.1,26,,,81
7514896,花生活鲜花（爱尚花艺）,花生活,0,9,46,0.2,0.043478261,0,0.02173913,6,2,3,32.2,19,,,76
9131463,I DO鲜花・七夕鲜花,花生活,橙色预警,13,25,0.285714286,0.2,0,0.24,10,2,3,17.5,11,,,80
9139414,花亭园艺（七夕情人节，表白，鲜花）,花生活,黄色预警,7,19,0,0.157894737,0.25,0.157894737,5,2,2,13.3,8,,,81
7514879,花生活鲜花（艺轩鲜花）,花生活,红色预警,1,13,0,0.230769231,0,0.076923077,4,2,2,9.1,5,,,69
9415524,百花源・七夕鲜花,花生活,红色预警,2,25,0,0.32,0,0.08,5,2,2,17.5,11,,,75
9723609,怡情缘花生活,花生活,0,2,31,0,0.096774194,0,0.064516129,6,2,3,21.7,13,,,87
9647263,向日葵花店・七夕鲜花,花生活,红色预警,3,18,0,0.222222222,0,0.222222222,4,2,2,12.6,8,,,66
6104153,花生活鲜花（花伴鲜花）,花生活,红色预警,3,49,0,0.428571429,0,0.142857143,7,2,2,34.3,20,,,75
9629133,尚品花艺（七夕情人节，告白，生日）,花生活,黄色预警,4,10,0,0.1,1,0.2,5,2,2,7,4,,,77
8357588,花生活鲜花（艺朵花艺）,花生活,红色预警,2,29,0,0.275862069,1,0.206896552,11,2,3,20.3,12,,,77
9530565,馨语鲜花店（七夕节日，表白，鲜花）,花生活,橙色预警,18,59,0,0.169491525,0.181818182,0.220338983,14,3,4,41.3,25,,,92
9228406,夜来香鲜花（七夕节日，表白，鲜花）,花生活,红色预警,13,31,0,0.161290323,0,0.064516129,11,2,3,21.7,13,,,75
7094045,花生活鲜花（铭相花缘）,花生活,红色预警,10,112,0,0.017857143,0.142857143,0.008928571,14,3,4,78.4,47,,,68
9412649,瑞瑞鲜花坊（七夕情人节，告白，生日）,花生活,0,0,6,0,0,0,0,1,2,2,4.2,2,,,58
6026797,白爵至尊婚庆公司・七夕鲜花,花生活,红色预警,1,10,0,0.1,0,0,3,2,2,7,4,,,68
2006070,花生活鲜花（伊馨花坊）,花生活,红色预警,16,47,0,0.553191489,0.111111111,0.340425532,10,2,3,32.9,20,,,86
8278272,久久花店・七夕鲜花,花生活,红色预警,2,32,0,0.375,0,0.40625,7,2,2,22.4,13,,,68
9713959,佳缘花艺,花生活,红色预警,2,18,0,0.444444444,0,0.388888889,4,2,2,12.6,8,,,66
8258612,初心花坊（七夕情人节，告白，鲜花）,花生活,蓝色预警,0,24,0,0.125,0,0.041666667,7,2,3,16.8,10,,,59
9132248,花之恋鲜花婚庆（七夕节日，表白，鲜花）,花生活,红色预警,10,32,0.1,0.15625,0.1,0.34375,10,2,3,22.4,13,,,74
9531957,梁氏花艺（七夕情人节，礼物，鲜花）,花生活,橙色预警,8,29,0,0.206896552,0,0.206896552,9,2,3,20.3,12,,,87
8435962,花生活鲜花（FlowerLife）,花生活,红色预警,2,27,0,0.407407407,0,0.148148148,5,2,2,18.9,11,,,76
9636924,创意花店・七夕鲜花,花生活,蓝色预警,2,39,0,0.128205128,0,0.025641026,8,2,3,27.3,16,,,88
6390095,花生活鲜花（倾城鲜花）,花生活,0,1,30,0,0.066666667,0,0,4,2,2,21,13,,,67
7318032,花生活鲜花（朵美鲜花）,花生活,蓝色预警,7,11,0,0.090909091,0.166666667,0.090909091,2,2,2,7.7,5,,,67
6405229,花生活鲜花（天缘花艺）,花生活,红色预警,0,5,0,0.6,0,0.6,2,2,2,3.5,2,,,67
9704439,栀子花开,花生活,0,1,12,0,0.083333333,0,0.083333333,5,2,2,8.4,5,,,69
8278384,花生活鲜花（美俪汇花艺）,花生活,红色预警,1,12,0,0.416666667,0,0.25,4,2,2,8.4,5,,,71
9561202,温馨鲜花店,花生活,蓝色预警,3,11,0,0.090909091,0,0,3,2,2,7.7,5,,,79
9566664,小仙女花艺・七夕鲜花,花生活,蓝色预警,5,38,0,0.026315789,0,0.052631579,8,2,3,26.6,16,,,85
9393935,花无缺鲜花绿植,花生活,红色预警,0,5,0,0.6,0,0.4,3,2,2,3.5,2,,,69
8278263,绿宇花卉（七夕情人节，礼物，鲜花）,花生活,红色预警,1,12,0.666666667,0.333333333,0.333333333,0.25,2,2,2,8.4,5,,,57
9754991,禾朵花坊,花生活,0,0,1,0,0,0,0,1,2,2,0.7,1,,,61
9346985,温馨花艺（七夕情人节，礼物，鲜花）,花生活,红色预警,0,4,0,1,0,0.75,3,2,2,2.8,2,,,58
9616921,花仙子・七夕鲜花,花生活,0,2,6,0,0.166666667,0,0.166666667,2,2,2,4.2,2,,,66
9409927,花生活鲜花（花样年华）,花生活,0,0,1,0,0,0,0,1,2,2,0.7,1,,,75
3464481,花生活鲜花（香侬鲜花水果）,花生活,黄色预警,4,6,0.333333333,0.166666667,0.166666667,0,1,2,2,4.2,2,,,62
7642074,花生活鲜花（云艳花坊）,花生活,红色预警,8,35,0,0.257142857,0,0.2,10,2,3,24.5,15,,,90
8989667,佰花草（七夕情人节，告白，生日）,花生活,蓝色预警,6,28,0.2,0.107142857,0.4,0.142857143,7,2,3,19.6,12,,,71
9599509,木上・花（七夕节日，表白，鲜花）,花生活,蓝色预警,3,17,0,0.058823529,0,0.117647059,5,2,2,11.9,7,,,84
9221147,怡芬花店,花生活,红色预警,13,45,0,0.488888889,0,0.466666667,8,2,3,31.5,19,,,94
8278261,花生活鲜花（一品花艺）,花生活,0,9,45,0,0.022222222,0.142857143,0.044444444,8,2,3,31.5,19,,,84
9713957,妙语花香,花生活,黄色预警,5,46,0,0.130434783,0,0.086956522,7,2,3,32.2,19,,,72
9756325,花点时间,花生活,0,4,13,0,0,0.5,0.076923077,3,2,2,9.1,5,,,87
8989546,如意花店（七夕情人节，告白，生日）,花生活,蓝色预警,5,18,0.2,0.055555556,0,0.166666667,3,2,2,12.6,8,,,70
8258610,花生活鲜花（尚艺空间花艺）,花生活,蓝色预警,1,9,0,0.111111111,0,0,2,2,2,6.3,4,,,69
9111025,花花世界（七夕预定，表白，鲜花）,花生活,红色预警,1,13,0.5,0.230769231,0.5,0.153846154,3,2,2,9.1,5,,,72
8865561,清原鲜花批发（七夕情人节，告白，生日）,花生活,红色预警,1,20,0.5,0.25,0,0,5,2,2,14,8,,,66
9638179,美誉鲜花,花生活,红色预警,8,32,0,0.09375,0.166666667,0.28125,9,2,3,22.4,13,,,78
9100495,心愿花屋（一分店）,花生活,红色预警,6,28,0.428571429,0.25,0.285714286,0.285714286,7,2,2,19.6,12,,,72
9553744,俪缘鲜花生活馆（七夕预定，表白，鲜花）,花生活,红色预警,7,44,0,0.227272727,0,0.227272727,8,2,3,30.8,19,,,89
8488490,花生活鲜花（茉莉花社青年路店）,花生活,橙色预警,12,45,0.125,0.155555556,0.125,0.2,12,2,4,31.5,19,,,90
6729448,千百卉鲜花店（七夕预定，表白，鲜花）,花生活,红色预警,39,203,0.2,0.088669951,0.36,0.054187192,30,5,8,142.1,85,,,83
3072588,花生活鲜花（如意鲜花）,花生活,0,3,13,0.5,0,0.25,0.076923077,3,2,2,9.1,5,,,67
8755678,青青鲜花礼品（七夕情人节，告白，生日）,花生活,红色预警,5,26,0,0.269230769,0,0.461538462,5,2,2,18.2,11,,,70
8959452,完美花艺喜铺（七夕预定，表白，鲜花）,花生活,红色预警,0,11,1,0.454545455,0,0.181818182,2,2,2,7.7,5,,,78
9599501,沁园春（七夕预定，表白，鲜花）,花生活,0,5,11,0.444444444,0,0.333333333,0,3,2,2,7.7,5,,,70
9629955,倾心花坊(生日鲜花丶开业花篮),花生活,黄色预警,14,24,0.181818182,0.041666667,0.090909091,0.208333333,5,2,2,16.8,10,,,83
8471193,花生活鲜花（玫瑰小镇）,花生活,黄色预警,8,53,0.454545455,0.094339623,0,0.094339623,7,2,3,37.1,22,,,73
7785893,花生活鲜花（百缘鲜花坊）,花生活,红色预警,0,5,0,0.2,0,0.4,1,2,2,3.5,2,,,61
9756277,遇见花开,花生活,红色预警,1,4,0.5,0.25,0,0.25,1,2,2,2.8,2,,,68
7934077,花生活鲜花（夜来香鲜花）,花生活,红色预警,9,53,0,0.245283019,0,0.226415094,9,2,3,37.1,22,,,84
9074918,花之语鲜花店,花生活,0,15,45,0,0,0,0,8,2,3,31.5,19,,,84
9394180,花千树花艺（七夕情人节，告白，生日）,花生活,红色预警,0,2,0,1,0,0.5,1,2,2,1.4,1,,,62
9139412,石楠鲜花（七夕预定，表白，鲜花）,花生活,橙色预警,3,11,0.6,0.090909091,0.2,0,3,2,2,7.7,5,,,77
9346983,爱菲尔鲜花蛋糕店（七夕情人节，告白，生日）,花生活,红色预警,3,11,0,0.090909091,0,0.272727273,4,2,2,7.7,5,,,79
8849777,鸢尾花艺坊（七夕预定，表白，鲜花）,花生活,蓝色预警,4,45,0,0.111111111,0,0.111111111,7,2,3,31.5,19,,,73
9687570,1花汇,花生活,红色预警,1,25,0.5,0.24,0,0.24,6,2,2,17.5,11,,,77
8983876,熹媛（七夕情人节，告白，生日）,花生活,黄色预警,0,7,0,0.142857143,0,0,2,2,2,4.9,3,,,56
8471409,花生活鲜花（香谷鲜花）,花生活,红色预警,3,13,0.666666667,0,0,0.461538462,2,2,2,9.1,5,,,78
9415136,花样屋・七夕鲜花,花生活,橙色预警,0,9,0,0,0,0.222222222,4,2,2,6.3,4,,,63
9805758,秘密花园,花生活,0,0,1,0,0,0,0,1,2,2,0.7,1,,,68
9529961,含笑花坊,花生活,红色预警,0,12,0,0.416666667,0,0.166666667,4,2,2,8.4,5,,,61
7392799,花生活鲜花（幸福花店遵义店）,花生活,红色预警,1,2,0.5,1,0,0,1,2,2,1.4,1,,,62
9131461,悦尚鲜花（霄边大街店）,花生活,0,4,1,0,0,0,0,1,2,2,0.7,1,,,73
9715470,紫桐鲜花,花生活,橙色预警,8,8,0.111111111,0,0.111111111,0.25,2,2,2,5.6,4,,,76
9636922,钟爱Flower（七夕预定，表白，鲜花）,花生活,红色预警,0,8,0,0.625,0,0.5,3,2,2,5.6,4,,,59
8094434,花生活鲜花（浩美鲜花礼品）,花生活,0,3,2,0,0,0,0,1,2,2,1.4,1,,,69
9720811,花开相爱,花生活,红色预警,1,3,1,0.666666667,0,0.333333333,2,2,2,2.1,1,,,74
6012181,花生活鲜花（韦爵爷鲜花）,花生活,红色预警,0,2,0,1,0,1,1,2,2,1.4,1,,,57
5332337,花生活鲜花（四季花屋）,花生活,橙色预警,32,133,0,0.030075188,0.058823529,0.15037594,22,4,7,93.1,56,,,89
7392897,花生活鲜花（阿紫鲜花店）,花生活,黄色预警,17,44,0.090909091,0.136363636,0.090909091,0.090909091,8,2,3,30.8,19,,,66
7514880,花生活鲜花（小姐姐花店）,花生活,红色预警,5,20,0.333333333,0.7,0,0.4,5,2,2,14,8,,,79
9414380,花匠・七夕鲜花,花生活,0,3,34,1,0.117647059,1,0,5,2,2,23.8,14,,,70
9713960,柒月拾花,花生活,蓝色预警,9,18,0,0.055555556,0,0.111111111,4,2,2,12.6,8,,,78
6582771,花生活鲜花（七彩花艺坊）,花生活,0,0,18,0,0,0,0,3,2,2,12.6,8,,,64
642989,花生活鲜花（春季花艺）,花生活,0,6,29,0,0.034482759,0,0.068965517,4,2,2,20.3,12,,,79
8958023,钟爱一生婚庆策划,花生活,黄色预警,0,22,0,0.136363636,0,0.090909091,4,2,2,15.4,9,,,72
9474014,忘不了花店,花生活,橙色预警,13,38,0.166666667,0.157894737,0,0.131578947,11,2,4,26.6,16,,,90
8849788,鲜花店（七夕情人节，表白，鲜花）,花生活,红色预警,7,35,0.166666667,0.2,0,0.114285714,5,2,2,24.5,15,,,69
9096605,花栈鲜花店（七夕预定鲜花、表白、生日）,花生活,橙色预警,9,83,0,0.144578313,0,0.21686747,11,2,4,58.1,35,,,86
7028637,花生活鲜花（鲜花批发）,花生活,黄色预警,7,5,0,0,0,0.2,2,2,2,3.5,2,,,74
2527715,花生活鲜花（情缘鲜花店遵义店）,花生活,蓝色预警,7,65,0.5,0.092307692,0.142857143,0.107692308,9,2,3,45.5,28,,,63
9346986,那一朵花坊・七夕鲜花,花生活,红色预警,1,18,0,0.5,0,0.388888889,4,2,2,12.6,8,,,71
7785896,花生活鲜花（湘湘鲜花蛋糕）,花生活,蓝色预警,1,9,0,0,0,0.111111111,2,2,2,6.3,4,,,68
4885878,花生活鲜花（阿西木花艺工作室）,花生活,红色预警,2,12,0,0.416666667,0,0.333333333,4,2,2,8.4,5,,,63
4192177,花生活鲜花（国色天香鲜花店）,花生活,红色预警,2,9,0.333333333,0.444444444,0,0.555555556,2,2,2,6.3,4,,,66
8801126,左花生活馆（七夕预定，表白，鲜花）,花生活,蓝色预警,8,8,0.142857143,0,0,0,1,2,2,5.6,4,,,71
9022886,未晚花艺（七夕情人节，礼物，鲜花）,花生活,红色预警,0,5,0,0.4,0,0.4,2,2,2,3.5,2,,,68
9608768,婷雅花坊（七夕情人节，告白，鲜花）,花生活,0,8,3,0,0,0,0,2,2,2,2.1,1,,,71
8207115,花生活鲜花（暖花艺鲜花店）,花生活,红色预警,0,8,0,0.375,0,0,3,2,2,5.6,4,,,62
8970947,四季花港鲜花婚庆（七夕情人节，礼物，鲜花）,花生活,红色预警,1,27,0,0.37037037,0,0.111111111,9,2,3,18.9,11,,,68
9616922,花之家花坊（七夕预定，表白，鲜花）,花生活,蓝色预警,0,23,0,0.086956522,0,0,4,2,2,16.1,10,,,69
9652804,刘岚鲜花,花生活,蓝色预警,1,35,0,0.142857143,0,0,6,2,2,24.5,15,,,82
8982838,花度花艺（七夕情人节，礼物，鲜花）,花生活,红色预警,0,13,0,0.153846154,0,0.307692308,3,2,2,9.1,5,,,65
8801607,朝夕花舍,花生活,橙色预警,5,27,0.2,0.111111111,0,0.222222222,5,2,2,18.9,11,,,68
9271168,尚典花艺（七夕情人节，表白，鲜花）,花生活,红色预警,1,3,0,0,0,0,1,2,2,2.1,1,,,70
6968235,花生活鲜花（奢漫花艺）,花生活,0,6,26,0,0.038461538,0,0.038461538,11,3,4,18.2,11,,,83
9490934,田歆花艺馆・七夕鲜花,花生活,红色预警,2,20,0,0.6,0,0.5,6,2,2,14,8,,,80
9217395,花生活鲜花（婚礼策划）,花生活,0,1,8,0.5,0,0,0,2,2,2,5.6,4,,,62
8989549,千雅鲜花,花生活,0,11,16,0.3,0,0.1,0.0625,5,2,2,11.2,7,,,71
9687533,樱木花都,花生活,红色预警,0,6,0,0.333333333,0,0.333333333,2,2,2,4.2,2,,,57
9398933,新光鲜花批发（七夕节日，表白，鲜花）,花生活,蓝色预警,8,31,0,0.129032258,0,0.064516129,6,2,2,21.7,13,,,82
7514888,花生活鲜花（名媛花希,花生活,红色预警,2,18,0,0.388888889,0,0.111111111,6,2,2,12.6,8,,,79
9370361,一生之爱鲜花店（七夕情人节，表白，鲜花）,花生活,红色预警,0,7,0,1,0,0.714285714,2,2,2,4.9,3,,,70
8207107,花生活鲜花（花叙鲜花店）,花生活,红色预警,0,8,1,0.5,0.166666667,0.375,3,2,2,5.6,4,,,68
6773717,花生活鲜花（紫薇鲜花坊）,花生活,红色预警,2,6,0,0.333333333,0,0.333333333,2,2,2,4.2,2,,,66
9139809,灯火花舍（七夕预定，表白，鲜花）,花生活,红色预警,2,7,0,0,0,0.428571429,2,2,2,4.9,3,,,83
8280460,花生活鲜花（遇见花坊）,花生活,红色预警,12,70,0,0.071428571,0,0.028571429,10,2,3,49,29,,,93
9687527,喜多多婚庆,花生活,红色预警,4,29,0.2,0.517241379,0,0.206896552,8,2,3,20.3,12,,,69
6881023,花生活鲜花（爱花行）,花生活,黄色预警,5,30,0,0.166666667,0.25,0.133333333,7,2,3,21,13,,,66
7546953,花生活鲜花（爱琴海鲜花店）,花生活,蓝色预警,8,21,0,0.095238095,0,0.095238095,5,2,2,14.7,9,,,88
9517329,吉祥花店（七夕预定，表白，鲜花）,花生活,红色预警,2,33,0,0.484848485,1,0.363636364,7,2,2,23.1,14,,,75
9630264,城城婚庆鲜花店,花生活,蓝色预警,5,45,0.5,0.088888889,0,0.088888889,14,3,5,31.5,19,,,83
8278457,花生活鲜花（花痴花坊）,花生活,红色预警,3,5,0,0.6,0,0.2,2,2,2,3.5,2,,,83
7672370,花生活鲜花（麦花阁鲜花）,花生活,红色预警,3,16,0,0.25,0,0.375,3,2,2,11.2,7,,,85
8849782,约定花行（七夕节日，表白，鲜花）,花生活,黄色预警,2,10,0.5,0,0.25,0.1,3,2,2,7,4,,,60
7475402,花生活鲜花（百合花坊）,花生活,红色预警,7,24,0.222222222,0.25,0.222222222,0.291666667,7,2,2,16.8,10,,,80
9608866,花轻悦鲜花店,花生活,红色预警,1,31,1,0.225806452,1,0.322580645,8,2,3,21.7,13,,,66
