订单编号,下单时间,店铺名称,店铺ID,店铺所在城市,订单总金额（元）,退款金额（元）,退款商品,商家服务问题,,,,,,,,
"48858784046540267	","2020-03-08 08:33:47	","花生活鲜花（阿西木花艺工作室）	","4885878	","厦门	","408.00	","408.00	","『秀外慧中』11枝粉色康乃馨+11枝粉色玫瑰抱抱桶38女神节*数量1	","用户催单；	",,,,,,,,
"59623020961429498	","2020-03-08 14:53:51	","花生活鲜花（众里寻Ta花舍）	","5962302	","兰州	","216.00	","0.00	",,"拣货超时；	",,,,,,,,
"60617441880868044	","2020-03-07 17:55:30	","花生活鲜花（花艺空间）	","6061744	","乌鲁木齐	","216.00	","216.00	","『青春永驻』11枝粉色康乃馨花束 三八妇女节女神礼物花束*数量1	","商家拒单；	",,,,,,,,
"50544881649675795	","2020-03-17 16:49:28	","花生活鲜花（华粤鲜花馆）	","5054488	","厦门	","270.00	","270.00	","自取款-----精致花瓣一片*数量45	","商家拒单；	",,,,,,,,
"31284502171519506	","2020-03-26 08:26:28	","花生活鲜花（花之恋鲜花店）	","3128450	","绍兴	","278.00	","0.00	",,"拣货超时；	",,,,,,,,
"60617441079346474	","2020-03-08 02:51:01	","花生活鲜花（花艺空间）	","6061744	","乌鲁木齐	","378.00	","378.00	","『眉目如画』33枝红玫瑰黑纱爆款花束 38妇女节三八女神节*数量1	","商家超时未接单；	",,,,,,,,
"51964780775350659	","2020-03-26 10:41:14	","郁涧鲜花坊	","5196478	","赤峰	","298.00	","0.00	",,"用户催单；	",,,,,,,,
"60617442073735011	","2020-03-08 10:15:01	","花生活鲜花（花艺空间）	","6061744	","乌鲁木齐	","345.00	","0.00	",,"用户催单；	",,,,,,,,
"39949322332143974	","2020-03-30 04:35:06	","花生活鲜花（雅心花艺）	","3994932	","长沙	","788.00	","788.00	","『Black yarn E2款』99枝红玫瑰花儿黑纱花束*数量1	","商家超时未接单；	",,,,,,,,
"31284504020341504	","2020-03-28 13:43:01	","花生活鲜花（花之恋鲜花店）	","3128450	","绍兴	","245.00	","0.00	",,"拣货超时；	",,,,,,,,
"53454251416530108	","2020-03-13 10:36:18	","花生活鲜花（花稼之约鲜花）	","5345425	","沈阳	","245.00	","0.00	",,"拣货超时；	",,,,,,,,
"60617442405081402	","2020-03-08 11:33:32	","花生活鲜花（花艺空间）	","6061744	","乌鲁木齐	","316.00	","0.00	",,"用户催单；	",,,,,,,,
"43049463730691636	","2020-03-21 10:33:55	","花生活鲜花（城市花坊）	","4304946	","泸州	","245.00	","0.00	",,"用户催单；	",,,,,,,,
"55823153601357685	","2020-03-07 12:47:30	","花生活鲜花（花香漫进）	","5582315	","成都	","320.00	","0.00	",,"拣货超时；	",,,,,,,,
"63951632073735011	","2020-03-08 09:00:27	","花生活鲜花（花海）	","6395163	","杭州	","370.00	","370.00	","『觅爱追欢』19枝粉玫瑰搭配尤加利红豆花束情人节送女友鲜花店*数量1	","缺货导致退款；	",,,,,,,,
"31654681649675795	","2020-03-17 06:25:09	","花生活鲜花（甄阿奇花艺）	","3165468	","营口	","198.00	","198.00	","『博学多识』19朵康乃馨+5朵百合花束 教师节礼物 送老师*数量1	","商家超时未接单；	",,,,,,,,
"43633893834452645	","2020-03-06 08:51:52	","花生活鲜花（意达鲜花店）	","4363389	","唐山	","208.00	","208.00	","『皓月当空』11枝红玫瑰搭配满天星礼盒38妇女节爆款送女友*数量1	","商家拒单；	",,,,,,,,
"63951633354980958	","2020-03-08 13:30:34	","花生活鲜花（花海）	","6395163	","杭州	","208.00	","0.00	",,"拣货超时；	",,,,,,,,
"55823154046540267	","2020-03-08 09:16:04	","花生活鲜花（花香漫进）	","5582315	","成都	","378.00	","0.00	",,"拣货超时；	",,,,,,,,
"43633893278305652	","2020-03-08 12:46:46	","花生活鲜花（意达鲜花店）	","4363389	","唐山	","370.00	","0.00	",,"用户催单；	",,,,,,,,
"63951630535230793	","2020-03-08 13:41:21	","花生活鲜花（花海）	","6395163	","杭州	","256.00	","0.00	",,"拣货超时；	",,,,,,,,
"55823151079346474	","2020-03-08 09:31:45	","花生活鲜花（花香漫进）	","5582315	","成都	","236.00	","0.00	",,"拣货超时；	",,,,,,,,
"34680330751171285	","2020-03-06 14:44:07	","花生活鲜花（家美园艺）	","3468033	","上海	","208.00	","0.00	",,"用户催单；	",,,,,,,,
"43633893730691636	","2020-03-21 18:28:49	","花生活鲜花（意达鲜花店）	","4363389	","唐山	","245.00	","0.00	",,"用户催单；	",,,,,,,,
"63951631448383516	","2020-03-08 15:56:01	","花生活鲜花（花海）	","6395163	","杭州	","256.00	","0.00	",,"拣货超时；	",,,,,,,,
"55823152073735011	","2020-03-08 09:36:05	","花生活鲜花（花香漫进）	","5582315	","成都	","320.00	","0.00	",,"拣货超时；	",,,,,,,,
"43897481079346474	","2020-03-08 10:24:30	","花生活鲜花（玫瑰花店2店）	","4389748	","东莞	","316.00	","0.00	",,"拣货超时；	",,,,,,,,
"34680331880868044	","2020-03-07 10:29:10	","花生活鲜花（家美园艺）	","3468033	","上海	","370.00	","0.00	",,"用户催单；	",,,,,,,,
"65030292073735011	","2020-03-08 11:10:11	","花生活鲜花（漫漫鲜花坊）	","6503029	","银川	","216.00	","0.00	",,"拣货超时；	",,,,,,,,
"44346571880868044	","2020-03-07 16:25:57	","花生活鲜花（晴曦花艺）	","4434657	","福州	","620.00	","620.00	","『金玉良缘』33枝粉玫瑰搭配满天星韩式花束情人节送女友鲜花店*数量1	","缺货导致退款；	",,,,,,,,
"65436843834452645	","2020-03-06 13:04:17	","花生活鲜花（椰林花店）	","6543684	","上海	","256.00	","0.00	",,"用户催单；	",,,,,,,,
"55823150188082545	","2020-03-08 10:24:42	","花生活鲜花（花香漫进）	","5582315	","成都	","358.00	","0.00	",,"拣货超时；	",,,,,,,,
"34680331546403747	","2020-03-07 14:39:14	","花生活鲜花（家美园艺）	","3468033	","上海	","378.00	","0.00	",,"用户催单；	",,,,,,,,
"47425570045538585	","2020-03-25 04:15:13	","花生活鲜花（陌上花开株洲店）	","4742557	","株洲	","245.00	","245.00	","『店长推荐』3枝白玫瑰+6枝粉玫瑰花搭配满天星推荐生日鲜花店*数量1	","商家超时未接单；	",,,,,,,,
"55823150961429498	","2020-03-08 12:41:59	","花生活鲜花（花香漫进）	","5582315	","成都	","256.00	","0.00	",,"拣货超时；	",,,,,,,,
"65436841944367244	","2020-03-16 14:09:25	","花生活鲜花（椰林花店）	","6543684	","上海	","508.00	","0.00	",,"用户催单；	",,,,,,,,
"65436840558388210	","2020-03-27 08:54:36	","花生活鲜花（椰林花店）	","6543684	","上海	","298.00	","0.00	",,"拣货超时；用户催单；	",,,,,,,,
"34680334046540267	","2020-03-08 06:52:11	","花生活鲜花（家美园艺）	","3468033	","上海	","370.00	","0.00	",,"用户催单；	",,,,,,,,
"34680332667646585	","2020-03-30 09:36:23	","花生活鲜花（家美园艺）	","3468033	","上海	","245.00	","0.00	",,"拣货超时；	",,,,,,,,
"55823152405081402	","2020-03-08 18:44:39	","花生活鲜花（花香漫进）	","5582315	","成都	","320.00	","0.00	",,"拣货超时；	",,,,,,,,
"65436840085732698	","2020-03-28 17:59:20	","花生活鲜花（椰林花店）	","6543684	","上海	","338.00	","0.00	",,"拣货超时；	",,,,,,,,
"34680333746444488	","2020-03-30 10:14:11	","花生活鲜花（家美园艺）	","3468033	","上海	","358.00	","0.00	",,"拣货超时；	",,,,,,,,
"34680331150757396	","2020-03-08 10:16:55	","花生活鲜花（家美园艺）	","3468033	","上海	","256.00	","0.00	",,"用户催单；	",,,,,,,,
"55823152723043024	","2020-03-15 02:19:41	","花生活鲜花（花香漫进）	","5582315	","成都	","278.00	","278.00	","『貌美如花』33枝粉色康乃馨搭配桔梗尤加利花束 三八妇女节*数量1	","商家拒单；	",,,,,,,,
"65436842749901606	","2020-04-01 15:20:39	","花生活鲜花（椰林花店）	","6543684	","上海	","470.00	","0.00	",,"拣货超时；	",,,,,,,,
"34680331116627502	","2020-03-31 09:05:17	","花生活鲜花（家美园艺）	","3468033	","上海	","318.00	","0.00	",,"用户催单；	",,,,,,,,
"55823150085732698	","2020-03-28 13:21:26	","花生活鲜花（花香漫进）	","5582315	","成都	","353.00	","0.00	",,"拣货超时；	",,,,,,,,
"65436841261146651	","2020-04-01 16:34:11	","花生活鲜花（椰林花店）	","6543684	","上海	","158.00	","0.00	",,"用户催单；	",,,,,,,,
"30270692073735011	","2020-03-08 14:27:11	","花生活鲜花（艺都鲜花）	","3027069	","宁波	","740.00	","0.00	",,"拣货超时；	",,,,,,,,
"34680332078339913	","2020-04-01 14:12:59	","花生活鲜花（家美园艺）	","3468033	","上海	","338.00	","0.00	",,"拣货超时；	",,,,,,,,
"55823151126386827	","2020-03-31 14:00:14	","花生活鲜花（花香漫进）	","5582315	","成都	","278.00	","0.00	",,"拣货超时；	",,,,,,,,
"57622944046540267	","2020-03-08 10:28:30	","花生活鲜花（厦门陌上花开）	","5762294	","厦门	","216.00	","0.00	",,"拣货超时；	",,,,,,,,
"38821024046540267	","2020-03-08 08:46:02	","如意花艺	","3882102	","佛山	","278.00	","0.00	",,"拣货超时；	",,,,,,,,
"58604723601357685	","2020-03-07 07:13:26	","花生活鲜花（六月花坊）	","5860472	","金华	","649.00	","649.00	","『共度爱河』33枝粉玫瑰搭配尤加利抱抱桶情人节送女友鲜花店*数量1	","商家拒单；	",,,,,,,,
"55823152688488193	","2020-03-31 14:58:54	","花生活鲜花（花香漫进）	","5582315	","成都	","245.00	","0.00	",,"拣货超时；	",,,,,,,,
"31284501645005148	","2020-03-06 13:14:27	","花生活鲜花（花之恋鲜花店）	","3128450	","绍兴	","316.00	","0.00	",,"拣货超时；	",,,,,,,,
"38821022017194328	","2020-03-14 14:57:29	","如意花艺	","3882102	","佛山	","316.00	","316.00	","『春暖花开』11枝香槟玫瑰+3朵向日葵+配草花束 38女神节*数量1	","商家拒单；	",,,,,,,,
"56413284046540267	","2020-03-08 08:51:23	","花生活鲜花（成都陌上花开）	","5641328	","成都	","278.00	","0.00	",,"拣货超时；	",,,,,,,,
"58604720385703699	","2020-03-07 13:35:02	","花生活鲜花（六月花坊）	","5860472	","金华	","276.00	","276.00	","『知书达理』11枝粉玫瑰搭配尤加利礼盒 38女神节礼物*数量1	","商家拒单；	",,,,,,,,
"31284502073735011	","2020-03-08 11:35:44	","花生活鲜花（花之恋鲜花店）	","3128450	","绍兴	","208.00	","0.00	",,"用户催单；	",,,,,,,,
"39854072405081402	","2020-03-08 16:50:39	","花生活鲜花（柔兰花艺）	","3985407	","莆田	","216.00	","0.00	",,"用户催单；	",,,,,,,,
"59623021614285738	","2020-03-06 23:04:50	","花生活鲜花（众里寻Ta花舍）	","5962302	","兰州	","278.00	","278.00	","『谁言寸草心』19枝红康乃馨搭配尤加利满天星礼盒三八节礼物*数量1	","商家超时未接单；	",,,,,,,,
"56413282073735011	","2020-03-08 10:45:03	","花生活鲜花（成都陌上花开）	","5641328	","成都	","273.00	","0.00	",,"拣货超时；	",,,,,,,,
"59623021645005148	","2020-03-06 23:12:20	","花生活鲜花（众里寻Ta花舍）	","5962302	","兰州	","296.00	","296.00	","『至善至美』11枝香槟玫瑰搭配2枝多头百合花束38女神节礼物*数量1	","商家超时未接单；	",,,,,,,,
"39854071416530108	","2020-03-13 09:14:13	","花生活鲜花（柔兰花艺）	","3985407	","莆田	","138.00	","138.00	","『美丽的你』9枝混搭玫瑰花搭配尤加利韩式花束送女友送闺蜜鲜花*数量1	","质量问题导致退款；	",,,,,,,,
"56413280188082545	","2020-03-08 11:09:18	","花生活鲜花（成都陌上花开）	","5641328	","成都	","173.00	","0.00	",,"拣货超时；	",,,,,,,,
"31284501776304077	","2020-03-08 13:05:58	","花生活鲜花（花之恋鲜花店）	","3128450	","绍兴	","256.00	","0.00	",,"用户催单；	",,,,,,,,
"59623024046540267	","2020-03-08 11:02:28	","花生活鲜花（众里寻Ta花舍）	","5962302	","兰州	","278.00	","0.00	",,"拣货超时；	",,,,,,,,
"20951231150757396	","2020-03-08 10:47:02	","花生活鲜花（遇见花艺馆）	","2095123	","郴州	","138.00	","0.00	",,"用户催单；	",,,,,,,,
"56413281776304077	","2020-03-08 17:50:18	","花生活鲜花（成都陌上花开）	","5641328	","成都	","98.00	","98.00	","10枝郁金香鲜花 下单请备注颜色  默认混搭颜色*数量1	","缺货导致退款；	",,,,,,,,
"31284502585659653	","2020-03-08 17:19:33	","花生活鲜花（花之恋鲜花店）	","3128450	","绍兴	","216.00	","216.00	","『青春永驻』11枝粉色康乃馨花束 三八妇女节女神礼物花束*数量1	","商家拒单；	",,,,,,,,
"59623022073735011	","2020-03-08 13:45:53	","花生活鲜花（众里寻Ta花舍）	","5962302	","兰州	","288.00	","0.00	",,"拣货超时；	",,,,,,,,
"20951230367036047	","2020-03-08 11:25:59	","花生活鲜花（遇见花艺馆）	","2095123	","郴州	","353.00	","0.00	",,"用户催单；	",,,,,,,,
"59623020188082545	","2020-03-08 14:24:25	","花生活鲜花（众里寻Ta花舍）	","5962302	","兰州	","236.00	","0.00	",,"拣货超时；	",,,,,,,,
"57407414046540267	","2020-03-08 00:59:19	","花生活鲜花（唯爱花艺）	","5740741	","银川	","345.00	","345.00	","『彼岸花开 』11枝红玫瑰搭配满天星礼盒情人节送女友鲜花店*数量1	","商家超时未接单；	",,,,,,,,
"20951233354980958	","2020-03-08 11:56:34	","花生活鲜花（遇见花艺馆）	","2095123	","郴州	","248.00	","0.00	",,"用户催单；	",,,,,,,,
"31284503222006433	","2020-03-11 10:35:15	","花生活鲜花（花之恋鲜花店）	","3128450	","绍兴	","629.00	","0.00	",,"用户催单；	",,,,,,,,
"57407411079346474	","2020-03-08 08:43:38	","花生活鲜花（唯爱花艺）	","5740741	","银川	","345.00	","0.00	",,"用户催单；	",,,,,,,,
"34680331340865997	","2020-03-21 20:40:02	","花生活鲜花（家美园艺）	","3468033	","上海	","508.00	","0.00	",,"用户催单；	",,,,,,,,
"20951232712680479	","2020-03-08 12:09:45	","花生活鲜花（遇见花艺馆）	","2095123	","郴州	","320.00	","0.00	",,"用户催单；	",,,,,,,,
"31284503938360809	","2020-03-18 12:52:39	","花生活鲜花（花之恋鲜花店）	","3128450	","绍兴	","316.00	","0.00	",,"用户催单；	",,,,,,,,
"57407411097789639	","2020-03-08 14:43:14	","花生活鲜花（唯爱花艺）	","5740741	","银川	","345.00	","345.00	","『同心同德』11枝粉玫瑰搭配银叶菊送女友38女神节鲜花*数量1	","缺货导致退款；	",,,,,,,,
"34680332790932115	","2020-03-23 09:46:38	","花生活鲜花（家美园艺）	","3468033	","上海	","256.00	","0.00	",,"拣货超时；	",,,,,,,,
"20951231448383516	","2020-03-08 12:13:02	","花生活鲜花（遇见花艺馆）	","2095123	","郴州	","138.00	","0.00	",,"用户催单；	",,,,,,,,
"34680330137927908	","2020-03-23 12:20:38	","花生活鲜花（家美园艺）	","3468033	","上海	","236.00	","0.00	",,"拣货超时；	",,,,,,,,
"57407411601187095	","2020-03-19 08:29:57	","花生活鲜花（唯爱花艺）	","5740741	","银川	","228.00	","228.00	","『情有独钟』9枝红玫瑰搭配尤加利花束*数量1	","商家超时未接单；	",,,,,,,,
"20951231653252408	","2020-03-08 12:27:07	","花生活鲜花（遇见花艺馆）	","2095123	","郴州	","378.00	","0.00	",,"用户催单；	",,,,,,,,
"31284503901843816	","2020-03-25 11:51:07	","花生活鲜花（花之恋鲜花店）	","3128450	","绍兴	","245.00	","0.00	",,"拣货超时；	",,,,,,,,
"34680331288587416	","2020-03-23 12:36:32	","花生活鲜花（家美园艺）	","3468033	","上海	","361.00	","0.00	",,"拣货超时；	",,,,,,,,
"20951234289638427	","2020-03-08 12:31:21	","花生活鲜花（遇见花艺馆）	","2095123	","郴州	","296.00	","0.00	",,"用户催单；	",,,,,,,,
"57407410682197738	","2020-03-20 08:05:45	","花生活鲜花（唯爱花艺）	","5740741	","银川	","255.00	","255.00	","『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店*数量1	","商家超时未接单；	",,,,,,,,
"34680332776558867	","2020-03-24 18:42:55	","花生活鲜花（家美园艺）	","3468033	","上海	","245.00	","0.00	",,"拣货超时；	",,,,,,,,
"20951230685164998	","2020-03-08 13:45:10	","花生活鲜花（遇见花艺馆）	","2095123	","郴州	","370.00	","0.00	",,"用户催单；	",,,,,,,,
"20951230888591231	","2020-03-13 18:03:47	","花生活鲜花（遇见花艺馆）	","2095123	","郴州	","245.00	","0.00	",,"用户催单；	",,,,,,,,
"15231420188082545	","2020-03-08 13:33:32	","花生活鲜花（明珠鲜花坊）	","1523142	","西宁	","478.00	","0.00	",,"拣货超时；	",,,,,,,,
"34680330045538585	","2020-03-25 10:38:37	","花生活鲜花（家美园艺）	","3468033	","上海	","245.00	","0.00	",,"拣货超时；	",,,,,,,,
"2956803601357685	","2020-03-07 11:59:44	","花生活鲜花（鲜花格格花艺生活馆）	","295680	","绵阳	","236.00	","0.00	",,"拣货超时；	",,,,,,,,
"34680332264419357	","2020-03-27 10:12:42	","花生活鲜花（家美园艺）	","3468033	","上海	","248.00	","0.00	",,"拣货超时；	",,,,,,,,
"2956804046540267	","2020-03-08 09:19:41	","花生活鲜花（鲜花格格花艺生活馆）	","295680	","绵阳	","278.00	","0.00	",,"拣货超时；	",,,,,,,,
"16961753601357685	","2020-03-07 23:30:34	","花生活鲜花（520鲜花园艺）	","1696175	","上海	","276.00	","276.00	","『青春永驻』11枝粉色康乃馨花束 三八妇女节女神礼物花束*数量1	","商家拒单；	",,,,,,,,
"20951231126386827	","2020-03-31 00:43:23	","花生活鲜花（遇见花艺馆）	","2095123	","郴州	","208.00	","0.00	",,"用户催单；	",,,,,,,,
"34680333696872673	","2020-03-28 12:43:01	","花生活鲜花（家美园艺）	","3468033	","上海	","219.00	","0.00	",,"拣货超时；	",,,,,,,,
"26662404046540267	","2020-03-08 08:21:33	","花生活鲜花（祥和鲜花）	","2666240	","青岛	","278.00	","0.00	",,"拣货超时；	",,,,,,,,
"19718692405081402	","2020-03-08 15:52:40	","花生活鲜花（嘿花哨花艺）	","1971869	","遵义	","495.00	","0.00	",,"用户催单；	",,,,,,,,
"6429892559640493	","2020-03-16 13:12:28	","花生活鲜花（春季花艺）	","642989	","合肥	","245.00	","0.00	",,"用户催单；	",,,,,,,,
"34680331448383516	","2020-03-08 14:39:23	","花生活鲜花（家美园艺）	","3468033	","上海	","398.00	","0.00	",,"用户催单；	",,,,,,,,
"7141422073735011	","2020-03-08 09:43:15	","花生活鲜花（情意浓花店）	","714142	","温州	","373.00	","0.00	",,"用户催单；	",,,,,,,,
"26662400251865799	","2020-03-08 12:22:42	","花生活鲜花（祥和鲜花）	","2666240	","青岛	","216.00	","0.00	",,"拣货超时；	",,,,,,,,
"29220994046540267	","2020-03-08 15:38:34	","花生活鲜花（小草堂花艺生活馆）	","2922099	","太原	","296.00	","0.00	",,"拣货超时；	",,,,,,,,
"19718690752613205	","2020-03-08 16:29:20	","花生活鲜花（嘿花哨花艺）	","1971869	","遵义	","208.00	","208.00	","『皓月当空』11枝红玫瑰搭配满天星礼盒38妇女节爆款送女友*数量1	","缺货导致退款；	",,,,,,,,
"34680332017194328	","2020-03-14 12:26:07	","花生活鲜花（家美园艺）	","3468033	","上海	","138.00	","0.00	",,"拣货超时；	",,,,,,,,
"7141420045538585	","2020-03-25 08:23:07	","花生活鲜花（情意浓花店）	","714142	","温州	","518.00	","0.00	",,"用户催单；	",,,,,,,,
"29220992695248334	","2020-03-22 11:06:33	","花生活鲜花（小草堂花艺生活馆）	","2922099	","太原	","216.00	","0.00	",,"用户催单；	",,,,,,,,
"15231424046540267	","2020-03-08 11:51:44	","花生活鲜花（明珠鲜花坊）	","1523142	","西宁	","378.00	","0.00	",,"用户催单；	",,,,,,,,
"34680333681389853	","2020-03-14 12:43:44	","花生活鲜花（家美园艺）	","3468033	","上海	","211.00	","0.00	",,"拣货超时；	",,,,,,,,
"19718691097789639	","2020-03-08 16:29:41	","花生活鲜花（嘿花哨花艺）	","1971869	","遵义	","345.00	","345.00	","『枫叶流丹』11枝红玫瑰搭配白桔梗礼盒情人节送女友鲜花店*数量1	","缺货导致退款；	",,,,,,,,
"30270694046540267	","2020-03-08 08:14:42	","花生活鲜花（艺都鲜花）	","3027069	","宁波	","236.00	","0.00	",,"拣货超时；	",,,,,,,,
"15231421079346474	","2020-03-08 11:58:34	","花生活鲜花（明珠鲜花坊）	","1523142	","西宁	","296.00	","0.00	",,"拣货超时；用户催单；	",,,,,,,,
"30270691079346474	","2020-03-08 09:33:00	","花生活鲜花（艺都鲜花）	","3027069	","宁波	","256.00	","0.00	",,"拣货超时；	",,,,,,,,
"34680332694263101	","2020-03-14 13:42:22	","花生活鲜花（家美园艺）	","3468033	","上海	","131.00	","0.00	",,"拣货超时；	",,,,,,,,
"20060701079346474	","2020-03-08 10:48:50	","花生活鲜花（伊馨花坊）	","2006070	","上海	","278.00	","0.00	",,"拣货超时；用户催单；	",,,,,,,,
"34680334050024121	","2020-03-14 16:46:51	","花生活鲜花（家美园艺）	","3468033	","上海	","245.00	","0.00	",,"拣货超时；	",,,,,,,,
"20951230961429498	","2020-03-08 09:18:52	","花生活鲜花（遇见花艺馆）	","2095123	","郴州	","236.00	","0.00	",,"用户催单；	",,,,,,,,
"34680333948536303	","2020-03-14 17:52:00	","花生活鲜花（家美园艺）	","3468033	","上海	","245.00	","0.00	",,"拣货超时；	",,,,,,,,
