,time,商家ID,商家名称,r,f,m,r_score,f_score,m_score,rfm_group
0,20200601,9024275,花韵花艺馆,18.0,0,0,3,1,1,311
1,20200601,9024278,友新意鲜花坊,18.0,23,2596,3,3,3,333
2,20200601,9043306,花之都创意鲜花馆,18.0,0,0,3,1,1,311
3,20200601,9043308,时初花艺,18.0,1,0,3,1,1,311
4,20200601,9043310,元寳花店,10.3,0,0,1,1,1,111
5,20200601,9043313,浪漫主题花艺,24.0,2,86,3,2,2,322
6,20200601,9043314,茗蔓花艺,18.0,0,0,3,1,1,311
7,20200601,9043317,花坞,18.0,7,1443,3,3,3,333
8,20200601,9043320,花企网婚庆,18.7,2,299,3,2,3,323
9,20200601,9043425,永恒鲜花,18.0,6,595,3,3,3,333
10,20200601,9043994,八度花艺,15.5,9,986,3,3,3,333
11,20200601,9043995,情缘婚庆,15.8,4,293,3,3,3,333
12,20200601,9043996,花间时光,18.0,3,239,3,2,2,322
13,20200601,9127995,柔怡鲜花,11.6,3,281,1,2,3,123
14,20200601,9132125,等你花舍,15.0,2,207,3,2,2,322
15,20200601,9132229,尚品花店,14.5,0,0,2,1,1,211
16,20200601,9221181,花鲜阁,12.0,1,64,1,1,2,112
17,20200601,9221238,南园鲜花坊,13.9,3,239,2,2,2,222
18,20200601,9221239,花仙子,10.7,1,68,1,1,2,112
19,20200601,9221240,印象花坊鲜花定制,14.2,2,238,2,2,2,222
20,20200601,9223872,天天花坊,13.8,28,2308,2,3,3,233
21,20200601,9228865,花知语婚典,12.8,0,0,1,1,1,111
22,20200601,9230196,镜花缘花店,16.7,0,0,3,1,1,311
23,20200601,9257821,姐妹鲜花店,11.7,3,361,1,2,3,123
24,20200601,9257829,1°花艺礼品,11.9,2,396,1,2,3,123
25,20200601,9263605,都市花乡,13.4,1,0,1,1,1,111
26,20200601,9263832,花语鲜花坊,15.8,2,210,3,2,2,322
27,20200601,9263833,馨露鲜花,11.9,1,54,1,1,1,111
28,20200601,9266336,珍馨花店,13.6,5,408,1,3,3,133
29,20200601,9266337,群芳鲜花礼品,14.8,9,710,3,3,3,333
30,20200601,9266338,流星花園,12.6,1,181,1,1,2,112
31,20200601,9268522,7号花舍,22.9,0,0,3,1,1,311
32,20200601,9268590,甜蜜花坊,10.3,0,0,1,1,1,111
33,20200601,9277061,大拇指婚庆,12.9,1,73,1,1,2,112
34,20200601,9280257,百花庄花卉,12.8,4,375,1,3,3,133
35,20200601,9284178,金缘鲜花,14.7,0,0,2,1,1,211
36,20200601,9288256,长华花店,12.3,1,0,1,1,1,111
37,20200601,9288258,花开相爱,14.6,2,162,2,2,2,222
38,20200601,9288323,凤鲜婚庆花艺,13.8,0,0,2,1,1,211
39,20200601,9288324,鑫鑫花艺,14.9,0,0,3,1,1,311
40,20200601,9288325,喜洋洋鲜花,13.9,0,0,2,1,1,211
41,20200601,9288367,英皇花店,11.8,2,595,1,2,3,123
42,20200601,9291522,婷旭花坊,11.5,1,0,1,1,1,111
43,20200601,9295282,蓝梦鲜花礼品,14.9,1,64,3,1,2,312
44,20200601,9295284,麦萌花艺生活馆,16.5,4,427,3,3,3,333
45,20200601,9295286,婉苑鲜花婚庆,17.1,17,1602,3,3,3,333
46,20200601,9295325,美家鲜花礼品店,12.5,12,1185,1,3,3,133
47,20200601,9295388,田美花艺,10.9,7,547,1,3,3,133
48,20200601,9297947,丰颖花艺,13.3,3,454,1,2,3,123
49,20200601,9314599,木子花开,14.6,1,66,2,1,2,212
50,20200601,9314603,鲜花婚庆,11.3,1,86,1,1,2,112
51,20200601,9314605,馨悦花店,14.6,0,0,2,1,1,211
52,20200601,9314606,茂业花店,13.9,13,1475,2,3,3,233
53,20200601,9314607,如意花艺,13.4,0,0,1,1,1,111
54,20200601,9314608,欣然鲜花,23.5,0,0,3,1,1,311
55,20200601,9314609,Mr.Liu's花店,12.9,4,291,1,3,3,133
56,20200601,9319351,花间集,15.7,0,0,3,1,1,311
57,20200601,9319651,爱尚花坊,14.3,3,413,2,2,3,223
58,20200601,9322628,博文花艺行,13.4,0,0,1,1,1,111
59,20200601,9322697,锦上添花鲜花,11.7,2,125,1,2,2,122
60,20200601,9323842,花无缺鲜花店,11.6,11,671,1,3,3,133
61,20200601,9338707,月月花屋,10.6,0,0,1,1,1,111
62,20200601,9338708,恒海鲜花,12.8,2,66,1,2,2,122
63,20200601,9338709,开封市玺花诚园艺有限公司,17.6,3,185,3,2,2,322
64,20200601,9338771,玫瑰之约（艾尚花语鲜花店）,12.1,3,268,1,2,3,123
65,20200601,9338794,喜乐四季花卉,15.2,0,0,3,1,1,311
66,20200601,9339174,清香园鲜花,13.8,0,0,2,1,1,211
67,20200601,9339176,绿之园花卉,12.8,3,246,1,2,2,122
68,20200601,9339177,阳光鲜花,9.3,0,0,1,1,1,111
69,20200601,9342535,晶晶花艺,12.3,1,0,1,1,1,111
70,20200601,9344175,爱神鲜花批发,10.7,3,64,1,2,2,122
71,20200601,9345839,花戒鲜花,11.3,6,575,1,3,3,133
72,20200601,9349868,花世界迷尔鲜花店,22.6,9,593,3,3,3,333
73,20200601,9350030,北植花屿,14.4,0,0,2,1,1,211
74,20200601,9352076,花仙子（花店）,14.4,7,533,2,3,3,233
75,20200601,9352424,尚品花坊（艾尚花语鲜花店）,14.8,0,0,3,1,1,311
76,20200601,9355273,花香时刻鲜花店,18.7,1,93,3,1,2,312
77,20200601,9360432,大自然花艺（艾尚花语鲜花店）,11.8,0,0,1,1,1,111
78,20200601,9364821,郁花缘鲜花,11.7,0,0,1,1,1,111
79,20200601,9364823,花颜花艺生活馆,11.9,1,194,1,1,2,112
80,20200601,9366091,海霞花艺,14.7,3,299,2,2,3,223
81,20200601,9366382,集美花艺,14.7,0,0,2,1,1,211
82,20200601,9370711,夏沫鲜花（文峰路店）,13.3,6,445,1,3,3,133
83,20200601,9371509,慧媛花艺,13.4,0,0,1,1,1,111
84,20200601,9382867,维罗纳花坊,12.5,3,254,1,2,3,123
85,20200601,9385039,惜缘花业,1.5,1,0,1,1,1,111
86,20200601,9385040,鲜花绿植,14.7,0,0,2,1,1,211
87,20200601,9385041,拾贰花艺,12.7,1,99,1,1,2,112
88,20200601,9385042,石上花坊批发,7.6,0,0,1,1,1,111
89,20200601,9385115,千千惠鲜花,13.6,0,0,1,1,1,111
90,20200601,9385117,尚品鲜花,10.7,0,0,1,1,1,111
91,20200601,9385118,四季花艺,11.8,0,0,1,1,1,111
92,20200601,9385213,娜娜花屋,14.8,2,133,3,2,2,322
93,20200601,9385384,简单花艺,8.1,0,0,1,1,1,111
94,20200601,9385911,阁禹,7.1,0,0,1,1,1,111
95,20200601,9387883,花开半夏,13.7,0,0,2,1,1,211
96,20200601,9394079,花言草语,13.8,2,228,2,2,2,222
97,20200601,9394266,花仙谷鲜花店,13.3,1,64,1,1,2,112
98,20200601,9402143,亿米阳光,13.6,0,0,1,1,1,111
99,20200601,9402187,百卉鲜花婚庆,14.7,0,0,2,1,1,211
100,20200601,9402588,爱使鲜花,10.2,0,0,1,1,1,111
101,20200601,9415492,95至尊花艺,12.4,0,0,1,1,1,111
102,20200601,9415494,九月花艺,7.0,1,69,1,1,2,112
103,20200601,9415495,芳雅花艺生活馆,0.0,0,0,1,1,1,111
104,20200601,9415496,花之舞庆典,13.7,0,0,2,1,1,211
105,20200601,9415610,小浣熊鲜花坊,14.2,0,0,2,1,1,211
106,20200601,9415611,圣格花艺,17.1,2,223,3,2,2,322
107,20200601,9415612,利群鲜花批发,14.3,0,0,2,1,1,211
108,20200601,9415613,金百合花店,14.1,0,0,2,1,1,211
109,20200601,9415614,真情鲜花,9.8,0,0,1,1,1,111
110,20200601,9415615,一花一木花艺生活馆,9.7,1,143,1,1,2,112
111,20200601,9415704,爱尚花艺,12.3,0,0,1,1,1,111
112,20200601,9415707,鑫福源鲜花,9.8,0,0,1,1,1,111
113,20200601,9415709,乐都鲜花,11.4,0,0,1,1,1,111
114,20200601,9415742,花语轩鲜花,14.4,0,0,2,1,1,211
115,20200601,9416497,柳柳花舍,11.4,0,0,1,1,1,111
116,20200601,9418080,唯一鲜花,8.8,0,0,1,1,1,111
117,20200601,9421954,江东花卉市场,14.1,1,69,2,1,2,212
118,20200601,9427935,花满庭花艺,0.0,0,0,1,1,1,111
