日期,订单编号,下单时间,接单时长,店铺名称,店铺ID,店铺所在城市,订单支付类型,订单状态,订单配送状态,是否预订单,订单总金额,订单折扣后金额,平台承担活动金额,商家承担活动金额,商品分类,商品名称,UPC码,商品SKU码,商品销售数量,商品原价销售额,商品实付销售额,商品总补贴金额,商品商家补贴金额,商品平台补贴金额,是否部分退款商品,部分退款商品数量,部分退款商品金额,订单小额付款,配送费,是否活动订单,优惠活动,是否催单,回复状态,商家回复内容,配送时长,打包袋费,订单完成时间,订单取消原因（仅取消订单）
"	20200617-20200714","93226974028531005	","2020-06-24 08:11:35	",84秒,"锦上添花鲜花	","9322697	","长春	",在线支付,订单完成,配送中,否,229.00,64.00,0.00,170.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,64.00,165.00,165.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价69.0元/门店新客立减5.0元	",否,已回复,,0.00分,0.00,"2020-06-24 12:34:44	",
"	20200617-20200714","93226972218359854	","2020-06-25 17:58:22	",79秒,"锦上添花鲜花	","9322697	","长春	",在线支付,订单完成,配送中,否,129.00,61.00,0.00,73.00,"毕业季	",【流年】3枝向日葵鲜花花束毕业季花礼,,,1,129.00,61.00,68.00,68.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【流年】3枝向日葵鲜花花束毕业季花礼原价129.0元现价69.0元/门店新客立减5.0元/用户使用了商家代金券减3元	",否,已回复,,0.00分,0.00,"2020-06-25 23:57:23	",
"	20200617-20200714","93226971123115163	","2020-07-01 20:05:40	",0秒,"锦上添花鲜花	","9322697	","长春	",在线支付,订单完成,用户提交订单,是,239.00,74.00,0.00,170.00,"爱情告白	",【我心永恒】11枝红玫瑰鲜花花束,,,1,239.00,74.00,165.00,165.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【我心永恒】11枝红玫瑰鲜花花束原价239.0元现价79.0元/门店新客立减5.0元/送5元商家代金券	",否,未回复,,0.00分,0.00,"2020-07-02 15:04:19	",
"	20200617-20200714","93226972270713790	","2020-07-03 19:01:08	",81秒,"锦上添花鲜花	","9322697	","长春	",在线支付,订单完成,用户提交订单,否,129.00,69.00,0.00,65.00,"感恩父亲节	",【父亲】1枝向日葵+3枝香槟玫瑰鲜花花束,,,1,129.00,69.00,60.00,60.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【父亲】1枝向日葵+3枝香槟玫瑰鲜花花束原价129.0元现价69.0元/送5元商家代金券	",否,未回复,,0.00分,0.00,"2020-07-04 00:55:31	",
"	20200617-20200714","93226973863016689	","2020-07-06 10:16:36	",71秒,"锦上添花鲜花	","9322697	","长春	",在线支付,订单完成,配送中,否,129.00,64.00,0.00,70.00,"送长辈	",【父亲】1枝向日葵+3枝香槟玫瑰鲜花花束,,,1,129.00,64.00,65.00,65.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【父亲】1枝向日葵+3枝香槟玫瑰鲜花花束原价129.0元现价69.0元/门店新客立减5.0元	",否,已回复,"一花一茶的日子，斑驳了岁月的光晕，褶皱了浮世的馨香，所有的美好，才从此在生活里显现。 感谢您对我们的支持，我们始终认为客户第一的哦！祝您生活愉快！！！	",0.00分,0.00,"2020-07-06 12:25:33	",
"	20200617-20200714","93226972821405029	","2020-07-06 10:41:41	",10秒,"锦上添花鲜花	","9322697	","长春	",在线支付,订单完成,配送中,否,129.00,64.00,0.00,70.00,"毕业季	",【流年】3枝向日葵鲜花花束毕业季花礼,,,1,129.00,64.00,65.00,65.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【流年】3枝向日葵鲜花花束毕业季花礼原价129.0元现价69.0元/门店新客立减5.0元	",否,已回复,"一束鲜花，代表的不仅是感动，是一份情感，一份事业，更是一份责任！祝福您送出鲜花的同时可以收获一份美满的幸福 ！！！  O(∩_∩)O	",0.00分,0.00,"2020-07-06 12:31:00	",
"	20200617-20200714","93226970039859179	","2020-07-08 13:59:45	",125秒,"锦上添花鲜花	","9322697	","长春	",在线支付,订单完成,配送中,否,129.00,64.00,0.00,70.00,"毕业季	",【流年】3枝向日葵鲜花花束毕业季花礼,,,1,129.00,64.00,65.00,65.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【流年】3枝向日葵鲜花花束毕业季花礼原价129.0元现价69.0元/门店新客立减5.0元	",否,未回复,,0.00分,0.00,"2020-07-08 21:15:31	",
"	20200617-20200714","93226971932190118	","2020-07-08 14:50:12	",0秒,"锦上添花鲜花	","9322697	","长春	",在线支付,订单取消,用户提交订单,否,259.00,94.00,10.00,160.00,"毕业季	",【思恋】11枝粉玫瑰+4枝向日葵鲜花花束毕业季花礼,,,1,259.00,94.00,165.00,155.00,10.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/用户使用了首单支付红包减10元/购买【思恋】11枝粉玫瑰+4枝向日葵鲜花花束毕业季花礼原价259.0元现价109.0元/门店新客立减5.0元/送5元商家代金券	",否,未回复,,0.00分,0.00,,"其他	"
"	20200617-20200714","93226972569583179	","2020-07-08 14:55:50	",7秒,"锦上添花鲜花	","9322697	","长春	",在线支付,订单完成,配送中,否,259.00,94.00,10.00,160.00,"毕业季	",【思恋】11枝粉玫瑰+4枝向日葵鲜花花束毕业季花礼,,,1,259.00,94.00,165.00,155.00,10.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/用户使用了首单支付红包减10元/购买【思恋】11枝粉玫瑰+4枝向日葵鲜花花束毕业季花礼原价259.0元现价109.0元/门店新客立减5.0元/送5元商家代金券	",否,未回复,,0.00分,0.00,"2020-07-08 21:51:00	",
"	20200617-20200714","93226973349580195	","2020-07-09 18:54:17	",7秒,"锦上添花鲜花	","9322697	","长春	",在线支付,订单完成,配送中,否,129.00,59.00,0.00,70.00,"爱情告白	",【特别的你】6枝粉玫瑰鲜花花束,,,1,129.00,59.00,70.00,70.00,0.00,否,0,0.00,0.00,0.00,是,"购买【特别的你】6枝粉玫瑰鲜花花束原价129.0元现价59.0元	",否,已回复,"一束鲜花，代表的不仅是感动，是一份情感，一份事业，更是一份责任！祝福您送出鲜花的同时可以收获一份美满的幸福	",0.00分,0.00,"2020-07-09 20:37:51	",
"	20200617-20200714","93226971148290252	","2020-07-10 18:44:02	",24秒,"锦上添花鲜花	","9322697	","长春	",在线支付,订单完成,配送中,否,239.00,74.00,0.00,170.00,"送长辈	",【温暖】11枝粉玫瑰鲜花花束,,,1,239.00,74.00,165.00,165.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【温暖】11枝粉玫瑰鲜花花束原价239.0元现价79.0元/门店新客立减5.0元/送5元商家代金券	",否,未回复,,0.00分,0.00,"2020-07-11 00:43:51	",
"	20200617-20200714","93226972145229893	","2020-07-10 16:59:57	",41秒,"锦上添花鲜花	","9322697	","长春	",在线支付,订单完成,配送中,否,239.00,74.00,0.00,170.00,"爱情告白	",【一吻之间】11枝红玫瑰鲜花花束,,,1,239.00,74.00,165.00,165.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【一吻之间】11枝红玫瑰鲜花花束原价239.0元现价79.0元/门店新客立减5.0元/送5元商家代金券	",否,已回复,,0.00分,0.00,"2020-07-10 23:30:30	",
"	20200617-20200714","93226974195904637	","2020-07-13 19:51:11	",31秒,"锦上添花鲜花礼品鲜花店	","9322697	","长春	",在线支付,订单完成,配送中,否,129.00,54.00,0.00,75.00,"爱情告白	",【特别的你】6枝粉玫瑰鲜花花束,,"as0235	",1,129.00,54.00,75.00,75.00,0.00,否,0,0.00,0.00,0.00,是,"购买【特别的你】6枝粉玫瑰鲜花花束原价129.0元现价59.0元/门店新客立减5.0元	",否,已回复,"千言万语不及您的一句“花很漂亮 我很满意”感谢您对店铺的支持，我们会更加努力！	",0.00分,0.00,"2020-07-13 21:43:06	",
"	20200617-20200714","93226972358878059	","2020-07-14 10:53:57	",20秒,"锦上添花鲜花礼品鲜花店	","9322697	","长春	",在线支付,订单完成,配送中,否,239.00,74.00,0.00,170.00,"爱情告白	",【我心永恒】11枝红玫瑰鲜花花束,,"as0238	",1,239.00,74.00,165.00,165.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【我心永恒】11枝红玫瑰鲜花花束原价239.0元现价79.0元/门店新客立减5.0元/送5元商家代金券	",否,未回复,,0.00分,0.00,"2020-07-14 15:41:00	",
"	20200617-20200714","93226970865288084	","2020-07-14 10:56:24	",6秒,"锦上添花鲜花礼品鲜花店	","9322697	","长春	",在线支付,订单完成,配送中,否,239.00,84.00,0.00,160.00,"爱意表达	",【惊鸿照影】11枝红玫瑰鲜花礼盒,,"as0014	",1,239.00,84.00,155.00,155.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【惊鸿照影】11枝红玫瑰鲜花礼盒原价239.0元现价89.0元/门店新客立减5.0元/送5元商家代金券	",否,未回复,,0.00分,0.00,"2020-07-14 15:49:21	",
