,供应商ID_x,供应商名_x,城市名_x,门店ID,门店名称_x,总成交额(元)_x,预计收入(元)_x,有效订单_x,笔单价(元)_x,顾客实付金额(元)_x,顾客实付笔单价(元)_x,总支出(元)_x,商家补贴(元)_x,商家补贴力度_x,流失订单_x,流失订单预计损失(元)_x,用户原因流失订单_x,配送原因流失订单数_x,商家原因流失订单数_x,其他原因流失订单数_x,商品金额_x,包装费_x,配送费_x,开始日_x,结束日_x,供应商ID_y,供应商名_y,城市名_y,门店名称_y,总成交额(元)_y,预计收入(元)_y,有效订单_y,笔单价(元)_y,顾客实付金额(元)_y,顾客实付笔单价(元)_y,总支出(元)_y,商家补贴(元)_y,商家补贴力度_y,流失订单_y,流失订单预计损失(元)_y,用户原因流失订单_y,配送原因流失订单数_y,商家原因流失订单数_y,其他原因流失订单数_y,商品金额_y,包装费_y,配送费_y,开始日_y,结束日_y,供应商ID,供应商名,城市名,门店名称,总成交额(元),预计收入(元),有效订单,笔单价(元),顾客实付金额(元),顾客实付笔单价(元),总支出(元),商家补贴(元),商家补贴力度,流失订单,流失订单预计损失(元),用户原因流失订单,配送原因流失订单数,商家原因流失订单数,其他原因流失订单数,商品金额,包装费,配送费,开始日,结束日
0,42267060178,河北雄安隆顺（原壹号花坊）,酒泉,2043137391,唯e爱花坊（华盛商场店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,酒泉,唯e爱花坊（华盛商场店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,190.0,1,0,0,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,酒泉,唯e爱花坊（华盛商场店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,190.0,1,0,0,0,0.0,0,0,20200801,20200831
1,42267060178,河北雄安隆顺（原壹号花坊）,佛山,2036262852,壹号花坊（小姐姐的花店广佛一路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,佛山,壹号花坊（小姐姐的花店广佛一路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,佛山,壹号花坊（小姐姐的花店广佛一路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831
2,42267060178,河北雄安隆顺（原壹号花坊）,长春,2043167134,唯美花艺（长山路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,长春,唯美花艺（长山路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,长春,唯美花艺（长山路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831
3,42267060178,河北雄安隆顺（原壹号花坊）,合肥,2043493005,手拉手鲜花婚庆,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,合肥,手拉手鲜花婚庆,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,合肥,手拉手鲜花婚庆,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831
4,42267060178,河北雄安隆顺（原壹号花坊）,牡丹江,2036081113,壹号花坊（辉辉鲜花向阳街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,牡丹江,壹号花坊（辉辉鲜花向阳街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,牡丹江,壹号花坊（辉辉鲜花向阳街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831
5,42267060178,河北雄安隆顺（原壹号花坊）,长春,2036892633,壹号花坊（满园春色花行九台区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,长春,壹号花坊（满园春色花行九台区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,长春,壹号花坊（满园春色花行九台区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831
6,42267060178,河北雄安隆顺（原壹号花坊）,烟台,2042459713,BLOSSOM花宿（长江路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,烟台,BLOSSOM花宿（长江路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,140.0,1,0,0,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,烟台,BLOSSOM花宿（长江路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,140.0,1,0,0,0,0.0,0,0,20200801,20200831
7,42267060178,河北雄安隆顺（原壹号花坊）,东莞,2042529593,悦尚鲜花（霄边大街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,东莞,悦尚鲜花（霄边大街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,东莞,悦尚鲜花（霄边大街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831
8,42267060178,河北雄安隆顺（原壹号花坊）,洛阳,2043372422,花好月圆（丽春路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,洛阳,花好月圆（丽春路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,洛阳,花好月圆（丽春路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831
9,42267060178,河北雄安隆顺（原壹号花坊）,乌鲁木齐,335724862,壹号花坊（新新花卉南昌路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,乌鲁木齐,壹号花坊（新新花卉南昌路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,乌鲁木齐,壹号花坊（新新花卉南昌路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831
10,42267060178,河北雄安隆顺（原壹号花坊）,襄阳,2043493004,柒月鲜花（襄州区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,襄阳,柒月鲜花（襄州区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,襄阳,柒月鲜花（襄州区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831
11,42267060178,河北雄安隆顺（原壹号花坊）,商丘,2043137397,王军鲜花店（袁山路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,商丘,王军鲜花店（袁山路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,商丘,王军鲜花店（袁山路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831
12,42267060178,河北雄安隆顺（原壹号花坊）,合肥,2043502901,花里花店（莲花路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,合肥,花里花店（莲花路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,合肥,花里花店（莲花路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831
13,42267060178,河北雄安隆顺（原壹号花坊）,常德,2043368141,洛神（武陵区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,常德,洛神（武陵区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,常德,洛神（武陵区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831
14,42267060178,河北雄安隆顺（原壹号花坊）,株洲,336859643,壹号花坊（朵夏时光星通路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,株洲,壹号花坊（朵夏时光星通路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,株洲,壹号花坊（朵夏时光星通路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831
15,42267060178,河北雄安隆顺（原壹号花坊）,本溪,336809812,壹号花坊（鲜花婚庆婚车曙光路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,本溪,壹号花坊（鲜花婚庆婚车曙光路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,本溪,壹号花坊（鲜花婚庆婚车曙光路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831
16,42267060178,河北雄安隆顺（原壹号花坊）,娄底,2036852692,壹号花坊（鲜花屋婚庆馆上渡街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,娄底,壹号花坊（鲜花屋婚庆馆上渡街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,娄底,壹号花坊（鲜花屋婚庆馆上渡街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831
17,42267060178,河北雄安隆顺（原壹号花坊）,杭州,300028994,壹号花坊（花海桂花西路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,杭州,壹号花坊（花海桂花西路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,杭州,壹号花坊（花海桂花西路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831
18,42267060178,河北雄安隆顺（原壹号花坊）,中山,2042539721,花开娜时花卉（湖滨北路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,中山,花开娜时花卉（湖滨北路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,1207.0,0,5,1,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,中山,花开娜时花卉（湖滨北路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,1207.0,0,5,1,0,0.0,0,0,20200801,20200831
19,42267060178,河北雄安隆顺（原壹号花坊）,泸州,335724864,壹号花坊（城市花坊飞跃街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,泸州,壹号花坊（城市花坊飞跃街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,泸州,壹号花坊（城市花坊飞跃街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831
20,42267060178,河北雄安隆顺（原壹号花坊）,合肥,300612204,壹号花坊（花朝越城北路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,合肥,壹号花坊（花朝越城北路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,149.0,0,0,1,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,合肥,壹号花坊（花朝越城北路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,149.0,0,0,1,0,0.0,0,0,20200801,20200831
21,42267060178,河北雄安隆顺（原壹号花坊）,昌吉回族自治州,2042449614,向阳花卉（建国路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,昌吉回族自治州,向阳花卉（建国路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,151.0,0,0,1,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,昌吉回族自治州,向阳花卉（建国路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,151.0,0,0,1,0,0.0,0,0,20200801,20200831
22,42267060178,河北雄安隆顺（原壹号花坊）,郑州,2042499827,博艺坊（新华路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,郑州,博艺坊（新华路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,239.0,0,0,1,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,郑州,博艺坊（新华路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,239.0,0,0,1,0,0.0,0,0,20200801,20200831
23,42267060178,河北雄安隆顺（原壹号花坊）,朝阳,2043368143,遇见花开（长江路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,朝阳,遇见花开（长江路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,241.0,1,0,0,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,朝阳,遇见花开（长江路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,241.0,1,0,0,0,0.0,0,0,20200801,20200831
24,42267060178,河北雄安隆顺（原壹号花坊）,泸州,2043177265,礼韵花坊（金山路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,泸州,礼韵花坊（金山路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,泸州,礼韵花坊（金山路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,20200801,20200831
25,42267060178,河北雄安隆顺（原壹号花坊）,济宁,2043493007,艾诺鲜花,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,济宁,艾诺鲜花,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,280.0,0,0,1,1,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,济宁,艾诺鲜花,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,280.0,0,0,1,1,0.0,0,0,20200801,20200831
26,42267060178,河北雄安隆顺（原壹号花坊）,贵阳,335744866,壹号花坊（四季春花艺黔春路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031,42267060178,河北雄安隆顺（原壹号花坊）,贵阳,壹号花坊（四季春花艺黔春路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,248.0,0,0,1,0,0.0,0,0,20200801,20200831,42267060178,河北雄安隆顺（原壹号花坊）,贵阳,壹号花坊（四季春花艺黔春路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,248.0,0,0,1,0,0.0,0,0,20200801,20200831
